HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E12"
                OPERATOR        "TL"
                CREATION_DATE   27-04-2022/05:45:08.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                243269637,      "101",  ,       ,       366.181262,     "",    27-04-2022/06:04:27.0    ,       MEAS;
                243269641,      "101",  427379.799723,  7663180.509300, 366.221539,     "",     27-04-2022/06:09:32.0   ,       MEAS;
                243269644,      "102",  427247.549455,  7663082.251518, 368.731859,     "",     27-04-2022/06:50:25.0   ,       MEAS;
                243269645,      "103",  427247.596460,  7663082.293372, 368.607475,     "",     27-04-2022/06:50:34.0   ,       MEAS;
                243269646,      "104",  427245.038636,  7663087.662068, 368.610232,     "",     27-04-2022/06:53:10.0   ,       MEAS;
                243269647,      "105",  427245.115064,  7663087.710516, 368.496772,     "",     27-04-2022/06:53:18.0   ,       MEAS;
                243269648,      "106",  427244.344735,  7663089.288727, 368.677840,     "",     27-04-2022/06:55:43.0   ,       MEAS;
                243269649,      "107",  427244.376140,  7663089.340669, 368.568032,     "",     27-04-2022/06:55:51.0   ,       MEAS;
                243269650,      "108",  427243.327378,  7663091.788740, 368.591093,     "",     27-04-2022/06:57:13.0   ,       MEAS;
                243269651,      "109",  427243.390074,  7663091.814785, 368.404012,     "",     27-04-2022/06:57:22.0   ,       MEAS;
                243269652,      "110",  427241.265802,  7663097.524319, 368.690101,     "",     27-04-2022/06:58:50.0   ,       MEAS;
                243269653,      "111",  427241.208623,  7663097.517266, 368.547078,     "",     27-04-2022/06:59:00.0   ,       MEAS;
                243269654,      "112",  427271.008749,  7663096.790509, 367.527379,     "",     27-04-2022/07:03:27.0   ,       MEAS;
                243269655,      "113",  427271.063533,  7663096.825247, 367.358275,     "",     27-04-2022/07:03:37.0   ,       MEAS;
                243269656,      "114",  427268.588243,  7663100.507235, 367.557163,     "",     27-04-2022/07:04:00.0   ,       MEAS;
                243269657,      "115",  427268.635262,  7663100.532509, 367.458462,     "",     27-04-2022/07:04:09.0   ,       MEAS;
                243269658,      "116",  427267.031758,  7663103.889430, 367.514173,     "",     27-04-2022/07:04:31.0   ,       MEAS;
                243269659,      "117",  427267.090707,  7663103.903624, 367.397474,     "",     27-04-2022/07:04:42.0   ,       MEAS;
                243269660,      "118",  427264.504261,  7663108.523715, 367.549873,     "",     27-04-2022/07:05:04.0   ,       MEAS;
                243269661,      "119",  427264.521242,  7663108.492519, 367.341157,     "",     27-04-2022/07:05:11.0   ,       MEAS;
                243269662,      "120",  427261.838515,  7663116.759283, 367.503290,     "",     27-04-2022/07:05:50.0   ,       MEAS;
                243269663,      "121",  427261.866797,  7663116.772788, 367.368293,     "",     27-04-2022/07:05:59.0   ,       MEAS;
                243269664,      "122",  427290.382975,  7663108.752603, 365.813131,     "",     27-04-2022/07:10:04.0   ,       MEAS;
                243269665,      "123",  427290.402913,  7663108.769301, 365.701222,     "",     27-04-2022/07:10:15.0   ,       MEAS;
                243269666,      "124",  427288.208207,  7663114.233565, 365.860784,     "",     27-04-2022/07:10:33.0   ,       MEAS;
                243269667,      "125",  427288.285418,  7663114.255354, 365.744900,     "",     27-04-2022/07:10:41.0   ,       MEAS;
                243269668,      "126",  427287.265961,  7663118.002900, 365.928736,     "",     27-04-2022/07:11:01.0   ,       MEAS;
                243269669,      "127",  427287.308368,  7663117.995553, 365.825767,     "",     27-04-2022/07:11:14.0   ,       MEAS;
                243269670,      "128",  427284.859462,  7663121.755238, 365.889035,     "",     27-04-2022/07:11:59.0   ,       MEAS;
                243269671,      "129",  427284.866412,  7663121.749063, 365.774966,     "",     27-04-2022/07:12:10.0   ,       MEAS;
                243269672,      "130",  427282.633095,  7663125.776115, 365.903603,     "",     27-04-2022/07:12:39.0   ,       MEAS;
                243269673,      "131",  427282.657874,  7663125.728416, 365.770675,     "",     27-04-2022/07:12:48.0   ,       MEAS;
                243269674,      "132",  427312.660261,  7663121.913089, 365.701315,     "",     27-04-2022/07:17:00.0   ,       MEAS;
                243269675,      "133",  427312.619858,  7663121.865270, 365.541117,     "",     27-04-2022/07:17:47.0   ,       MEAS;
                243269676,      "134",  427310.468859,  7663127.076149, 366.018835,     "",     27-04-2022/07:19:34.0   ,       MEAS;
                243269677,      "135",  427310.488095,  7663127.116789, 365.815710,     "",     27-04-2022/07:19:43.0   ,       MEAS;
                243269678,      "136",  427309.294067,  7663129.136679, 365.872215,     "",     27-04-2022/07:20:59.0   ,       MEAS;
                243269679,      "137",  427309.261375,  7663129.175939, 365.743433,     "",     27-04-2022/07:21:07.0   ,       MEAS;
                243269680,      "138",  427308.396362,  7663131.815465, 366.069425,     "",     27-04-2022/07:22:43.0   ,       MEAS;
                243269681,      "139",  427308.332579,  7663131.732533, 365.911903,     "",     27-04-2022/07:22:51.0   ,       MEAS;
                243269682,      "140",  427305.142074,  7663137.856981, 366.005553,     "",     27-04-2022/07:24:12.0   ,       MEAS;
                243269683,      "141",  427305.180785,  7663137.934080, 365.783566,     "",     27-04-2022/07:24:23.0   ,       MEAS;
                243269684,      "142",  427352.956012,  7663221.371609, 364.944704,     "",     27-04-2022/08:27:56.0   ,       MEAS;
                243269685,      "143",  427352.935554,  7663221.386862, 364.791842,     "",     27-04-2022/08:28:04.0   ,       MEAS;
                243269686,      "144",  427353.496559,  7663222.982979, 364.979577,     "",     27-04-2022/08:29:26.0   ,       MEAS;
                243269687,      "145",  427353.499315,  7663223.039455, 364.834003,     "",     27-04-2022/08:29:38.0   ,       MEAS;
                243269688,      "146",  427355.579664,  7663229.966590, 364.813603,     "",     27-04-2022/08:31:04.0   ,       MEAS;
                243269689,      "147",  427355.554866,  7663229.944079, 364.635783,     "",     27-04-2022/08:31:14.0   ,       MEAS;
                243269690,      "148",  427358.384537,  7663238.646484, 364.689795,     "",     27-04-2022/08:32:40.0   ,       MEAS;
                243269691,      "149",  427358.468764,  7663238.601472, 364.528795,     "",     27-04-2022/08:32:51.0   ,       MEAS;
                243269692,      "150",  427358.796213,  7663240.889703, 364.768929,     "",     27-04-2022/08:33:51.0   ,       MEAS;
                243269693,      "151",  427358.800580,  7663240.851436, 364.608466,     "",     27-04-2022/08:34:01.0   ,       MEAS;
                243269694,      "152",  427336.207189,  7663246.215164, 365.163020,     "",     27-04-2022/08:36:09.0   ,       MEAS;
                243269695,      "153",  427336.289257,  7663246.135028, 365.030666,     "",     27-04-2022/08:36:18.0   ,       MEAS;
                243269696,      "154",  427332.690596,  7663239.623634, 365.199373,     "",     27-04-2022/08:36:40.0   ,       MEAS;
                243269697,      "155",  427332.784657,  7663239.622414, 365.031370,     "",     27-04-2022/08:36:47.0   ,       MEAS;
                243269698,      "156",  427331.422245,  7663237.022139, 365.197815,     "",     27-04-2022/08:37:11.0   ,       MEAS;
                243269699,      "157",  427331.489855,  7663237.006708, 365.011901,     "",     27-04-2022/08:37:19.0   ,       MEAS;
                243269700,      "158",  427326.735299,  7663226.797879, 365.263229,     "",     27-04-2022/08:37:54.0   ,       MEAS;
                243269701,      "159",  427326.759482,  7663226.782383, 365.089426,     "",     27-04-2022/08:38:04.0   ,       MEAS;
                243269702,      "160",  427323.064379,  7663219.409293, 365.260745,     "",     27-04-2022/08:38:33.0   ,       MEAS;
                243269703,      "161",  427323.101318,  7663219.428817, 365.136502,     "",     27-04-2022/08:38:44.0   ,       MEAS;
                243269704,      "162",  427300.288987,  7663230.608032, 365.742465,     "",     27-04-2022/08:40:15.0   ,       MEAS;
                243269705,      "163",  427300.374577,  7663230.562765, 365.654567,     "",     27-04-2022/08:40:25.0   ,       MEAS;
                243269706,      "164",  427303.876489,  7663238.087564, 365.817457,     "",     27-04-2022/08:40:55.0   ,       MEAS;
                243269707,      "165",  427303.911554,  7663238.074600, 365.725766,     "",     27-04-2022/08:41:08.0   ,       MEAS;
                243269708,      "166",  427307.539940,  7663243.854540, 365.781275,     "",     27-04-2022/08:41:38.0   ,       MEAS;
                243269709,      "167",  427307.510099,  7663243.892541, 365.616514,     "",     27-04-2022/08:41:48.0   ,       MEAS;
                243269710,      "168",  427310.442840,  7663249.482072, 365.447493,     "",     27-04-2022/08:42:19.0   ,       MEAS;
                243269711,      "169",  427310.451337,  7663249.439022, 365.310012,     "",     27-04-2022/08:42:32.0   ,       MEAS;
                243269712,      "170",  427312.453598,  7663254.827347, 365.431640,     "",     27-04-2022/08:42:59.0   ,       MEAS;
                243269713,      "171",  427312.492800,  7663254.844604, 365.304411,     "",     27-04-2022/08:43:10.0   ,       MEAS;
                243269714,      "172",  427286.819339,  7663260.717079, 366.734692,     "",     27-04-2022/08:45:35.0   ,       MEAS;
                243269715,      "173",  427286.834965,  7663260.648895, 366.584967,     "",     27-04-2022/08:45:45.0   ,       MEAS;
                243269716,      "174",  427286.264978,  7663257.824118, 366.784481,     "",     27-04-2022/08:47:46.0   ,       MEAS;
                243269717,      "175",  427286.308531,  7663257.768468, 366.651879,     "",     27-04-2022/08:47:58.0   ,       MEAS;
                243269718,      "176",  427283.372621,  7663250.525142, 366.811582,     "",     27-04-2022/08:49:40.0   ,       MEAS;
                243269719,      "177",  427283.498807,  7663250.569866, 366.685889,     "",     27-04-2022/08:49:50.0   ,       MEAS;
                243269720,      "178",  427280.740591,  7663243.796614, 366.841001,     "",     27-04-2022/08:51:17.0   ,       MEAS;
                243269721,      "179",  427280.767457,  7663243.745064, 366.732605,     "",     27-04-2022/08:51:41.0   ,       MEAS;
                243269722,      "180",  427279.947938,  7663241.144169, 366.805577,     "",     27-04-2022/08:54:33.0   ,       MEAS;
                243269723,      "181",  427279.909162,  7663241.165829, 366.609707,     "",     27-04-2022/08:54:41.0   ,       MEAS;
                243269724,      "182",  427404.914614,  7663178.277094, 366.707679,     "",     27-04-2022/09:09:43.0   ,       MEAS;
                243269725,      "183",  427404.910038,  7663178.273295, 366.640252,     "",     27-04-2022/09:09:54.0   ,       MEAS;
                243269726,      "184",  427408.044923,  7663180.765364, 366.595517,     "",     27-04-2022/09:10:26.0   ,       MEAS;
                243269727,      "185",  427408.040160,  7663180.761779, 366.562719,     "",     27-04-2022/09:10:56.0   ,       MEAS;
                243269728,      "186",  427413.198901,  7663184.766483, 366.494658,     "",     27-04-2022/09:11:18.0   ,       MEAS;
                243269729,      "187",  427413.149912,  7663184.778004, 366.302028,     "",     27-04-2022/09:11:36.0   ,       MEAS;
                243269730,      "188",  427420.578934,  7663189.991402, 366.241585,     "",     27-04-2022/09:12:09.0   ,       MEAS;
                243269731,      "189",  427420.595502,  7663190.006265, 366.076403,     "",     27-04-2022/09:12:17.0   ,       MEAS;
                243269732,      "190",  427424.435966,  7663193.854976, 366.173205,     "",     27-04-2022/09:12:43.0   ,       MEAS;
                243269733,      "191",  427424.461195,  7663193.846428, 366.053222,     "",     27-04-2022/09:12:59.0   ,       MEAS;
                243269734,      "192",  427391.804221,  7663149.609433, 367.250203,     "",     27-04-2022/09:14:45.0   ,       MEAS;
                243269735,      "193",  427440.033206,  7663175.387950, 366.757264,     "",     27-04-2022/09:15:57.0   ,       MEAS;
                243269736,      "194",  427440.017042,  7663175.386916, 366.616067,     "",     27-04-2022/09:16:15.0   ,       MEAS;
                243269737,      "195",  427435.465756,  7663171.228330, 366.738251,     "",     27-04-2022/09:16:52.0   ,       MEAS;
                243269738,      "196",  427435.467786,  7663171.245779, 366.662512,     "",     27-04-2022/09:17:05.0   ,       MEAS;
                243269739,      "197",  427428.496270,  7663164.399018, 367.028813,     "",     27-04-2022/09:17:36.0   ,       MEAS;
                243269740,      "198",  427428.454176,  7663164.414011, 366.971997,     "",     27-04-2022/09:17:56.0   ,       MEAS;
                243269741,      "199",  427420.918944,  7663158.304360, 367.344221,     "",     27-04-2022/09:18:38.0   ,       MEAS;
                243269742,      "200",  427420.908503,  7663158.308765, 367.257829,     "",     27-04-2022/09:18:53.0   ,       MEAS;
                243269743,      "201",  427414.682627,  7663155.631074, 367.408193,     "",     27-04-2022/09:19:26.0   ,       MEAS;
                243269744,      "202",  427414.680694,  7663155.648684, 367.359261,     "",     27-04-2022/09:19:36.0   ,       MEAS;
                243269745,      "203",  427427.937932,  7663132.863885, 368.914880,     "",     27-04-2022/09:20:25.0   ,       MEAS;
                243269746,      "204",  427427.927523,  7663132.876040, 368.794516,     "",     27-04-2022/09:20:33.0   ,       MEAS;
                243269747,      "205",  427434.488794,  7663137.469148, 368.671994,     "",     27-04-2022/09:21:18.0   ,       MEAS;
                243269748,      "206",  427434.491497,  7663137.463666, 368.651896,     "",     27-04-2022/09:21:26.0   ,       MEAS;
                243269749,      "207",  427442.395620,  7663143.832962, 368.707902,     "",     27-04-2022/09:22:07.0   ,       MEAS;
                243269750,      "208",  427442.383107,  7663143.839604, 368.588272,     "",     27-04-2022/09:22:14.0   ,       MEAS;
                243269751,      "209",  427449.792905,  7663149.809542, 368.466277,     "",     27-04-2022/09:22:50.0   ,       MEAS;
                243269752,      "210",  427449.769209,  7663149.828178, 368.391217,     "",     27-04-2022/09:23:00.0   ,       MEAS;
                243269753,      "211",  427456.418625,  7663153.655516, 368.356477,     "",     27-04-2022/09:24:38.0   ,       MEAS;
                243269754,      "212",  427456.351532,  7663153.637352, 368.333963,     "",     27-04-2022/09:24:49.0   ,       MEAS;
                243269755,      "213",  427471.383251,  7663132.489802, 370.405978,     "",     27-04-2022/09:25:46.0   ,       MEAS;
                243269756,      "214",  427471.403467,  7663132.476372, 370.289139,     "",     27-04-2022/09:26:00.0   ,       MEAS;
                243269757,      "215",  427467.880186,  7663130.044824, 370.201176,     "",     27-04-2022/09:26:59.0   ,       MEAS;
                243269758,      "216",  427467.869216,  7663130.086572, 370.123887,     "",     27-04-2022/09:27:20.0   ,       MEAS;
                243269759,      "217",  427455.780218,  7663122.163066, 370.372821,     "",     27-04-2022/09:28:18.0   ,       MEAS;
                243269760,      "218",  427455.784923,  7663122.157990, 370.292417,     "",     27-04-2022/09:28:31.0   ,       MEAS;
                243269761,      "219",  427447.438015,  7663117.473570, 370.454330,     "",     27-04-2022/09:29:08.0   ,       MEAS;
                243269762,      "220",  427447.427379,  7663117.494393, 370.345504,     "",     27-04-2022/09:29:18.0   ,       MEAS;
                243269763,      "221",  427444.518573,  7663115.768192, 370.315755,     "",     27-04-2022/09:30:10.0   ,       MEAS;
                243269764,      "222",  427444.527331,  7663115.778958, 370.249339,     "",     27-04-2022/09:30:19.0   ,       MEAS;
                243269636,      "101",  427382.000000,  7663180.000000, 355.000000,     "",     27-04-2022/06:04:27.0   ,       FIX;
                243269640,      "101",  427382.000000,  7663180.000000, 355.000000,     "",     27-04-2022/06:09:32.0   ,       FIX;
                243269635,      "TS1",  427395.000000,  7663170.000000, 367.000000,     "",     27-04-2022/05:50:14.0   ,       FIX;
                THEMINFO (PointNo, PointID, Attribute, Value)
                END THEMINFO
                ANNOTATIONS (PointNo, PointID, Annotation)
                END ANNOTATIONS
        END POINTS
END DATABASE
METEO
        ELEMENTS (StnNo, StnID, Date, DryTemp, AtmPress, RefCoeff)
                243269635,      "TS1",  27-04-2022/05:45:10.0,  12.000000,     1013.250000,     0.130000;
        END ELEMENTS
END METEO
THEODOLITE
        INSTRUMENTS (Name, TheoNo, EDMNo, V_TYPE)
                "TS02power-7\"",        1310809,        0,      ZENITH;
        END INSTRUMENTS
        CONFIGS (CfgNo, InstrName, Date, AddConst)
                1,      "TS02power-7\"",        27-04-2022/06:04:27.0,  0.000000;
        END CONFIGS
        SETUP
                STN_NO  243269635
                STN_ID  "TS1"
                INST_HT 1.493000;
        END SETUP
        SLOPE (TgtNo, TgtID, CfgNo, Hz, Vz, SDist, RefHt, Date, Ppm, ApplType, Flags)
                243269637,      "101",  1,      120.363460,     90.492000,     18.938000,       2.040000,       27-04-2022/06:04:27.0,  0.000000,       107,   00001110;
                243269641,      "101",  1,      55.202560,      90.430360,     18.481000,       2.040000,       27-04-2022/06:09:32.0,  0.000000,       107,   00001110;
                243269644,      "102",  1,      120.452540,     89.142310,     171.600300,      2.040000,       27-04-2022/06:50:25.0,  0.000000,       107,   00001110;
                243269645,      "103",  1,      120.451100,     89.165160,     171.536900,      2.040000,       27-04-2022/06:50:34.0,  0.000000,       107,   00001110;
                243269646,      "104",  1,      118.461000,     89.164160,     171.092400,      2.040000,       27-04-2022/06:53:10.0,  0.000000,       107,   00001110;
                243269647,      "105",  1,      118.460320,     89.185710,     171.000700,      2.040000,       27-04-2022/06:53:18.0,  0.000000,       107,   00001110;
                243269648,      "106",  1,      118.104620,     89.151750,     170.927700,      2.040000,       27-04-2022/06:55:43.0,  0.000000,       107,   00001110;
                243269649,      "107",  1,      118.100880,     89.172920,     170.874100,      2.040000,       27-04-2022/06:55:51.0,  0.000000,       107,   00001110;
                243269650,      "108",  1,      117.164170,     89.165820,     170.663900,      2.040000,       27-04-2022/06:57:13.0,  0.000000,       107,   00001110;
                243269651,      "109",  1,      117.164850,     89.204330,     170.594000,      2.040000,       27-04-2022/06:57:22.0,  0.000000,       107,   00001110;
                243269652,      "110",  1,      115.142690,     89.144760,     169.976300,      2.040000,       27-04-2022/06:58:50.0,  0.000000,       107,   00001110;
                243269653,      "111",  1,      115.140510,     89.174190,     170.029200,      2.040000,       27-04-2022/06:59:00.0,  0.000000,       107,   00001110;
