HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E13"
                OPERATOR        "SW"
                CREATION_DATE   24-04-2022/06:43:56.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                192937989,      "101",  ,       ,       331.796293,     "",    24-04-2022/07:07:40.0    ,       MEAS;
                192937992,      "102",  426690.765197,  7665220.956387, 336.882132,     "",     24-04-2022/07:13:09.0   ,       MEAS;
                192937993,      "103",  426690.741946,  7665220.950218, 336.729640,     "",     24-04-2022/07:14:15.0   ,       MEAS;
                192937994,      "104",  426694.309534,  7665222.578384, 336.753849,     "",     24-04-2022/07:15:27.0   ,       MEAS;
                192937995,      "105",  426694.317423,  7665222.557964, 336.678461,     "",     24-04-2022/07:15:47.0   ,       MEAS;
                192937996,      "106",  426696.422053,  7665223.552443, 336.678022,     "",     24-04-2022/07:16:40.0   ,       MEAS;
                192937997,      "107",  426696.406109,  7665223.548757, 336.601819,     "",     24-04-2022/07:17:04.0   ,       MEAS;
                192937998,      "108",  426702.114189,  7665226.266915, 336.371454,     "",     24-04-2022/07:18:02.0   ,       MEAS;
                192937999,      "109",  426702.137557,  7665226.263649, 336.329911,     "",     24-04-2022/07:18:26.0   ,       MEAS;
                192938000,      "110",  426705.443452,  7665227.445605, 336.365677,     "",     24-04-2022/07:19:25.0   ,       MEAS;
                192938001,      "111",  426705.446455,  7665227.462155, 336.311182,     "",     24-04-2022/07:19:45.0   ,       MEAS;
                192938002,      "112",  426678.822201,  7665245.311338, 331.984936,     "",     24-04-2022/07:23:13.0   ,       MEAS;
                192938003,      "113",  426678.823588,  7665245.327169, 331.950855,     "",     24-04-2022/07:23:34.0   ,       MEAS;
                192938004,      "114",  426683.203470,  7665245.829811, 331.906099,     "",     24-04-2022/07:24:03.0   ,       MEAS;
                192938005,      "115",  426683.211265,  7665245.839284, 331.869330,     "",     24-04-2022/07:24:14.0   ,       MEAS;
                192938006,      "116",  426688.996191,  7665246.429159, 331.435431,     "",     24-04-2022/07:24:45.0   ,       MEAS;
                192938007,      "117",  426688.996042,  7665246.476758, 331.396002,     "",     24-04-2022/07:25:09.0   ,       MEAS;
                192938008,      "118",  426694.727348,  7665247.664492, 331.605881,     "",     24-04-2022/07:26:03.0   ,       MEAS;
                192938009,      "119",  426694.708428,  7665247.661858, 331.521773,     "",     24-04-2022/07:26:15.0   ,       MEAS;
                192938010,      "120",  426699.491033,  7665249.413698, 331.580992,     "",     24-04-2022/07:26:45.0   ,       MEAS;
                192938011,      "121",  426699.517320,  7665249.509890, 331.521030,     "",     24-04-2022/07:27:01.0   ,       MEAS;
                192938012,      "122",  426671.743957,  7665266.501072, 331.331605,     "",     24-04-2022/07:28:54.0   ,       MEAS;
                192938013,      "123",  426671.746912,  7665266.514706, 331.271753,     "",     24-04-2022/07:29:08.0   ,       MEAS;
                192938014,      "124",  426675.452323,  7665268.389566, 331.697855,     "",     24-04-2022/07:29:39.0   ,       MEAS;
                192938015,      "125",  426675.534488,  7665268.416461, 331.677636,     "",     24-04-2022/07:29:56.0   ,       MEAS;
                192938016,      "126",  426681.275172,  7665270.313405, 332.013262,     "",     24-04-2022/07:30:28.0   ,       MEAS;
                192938017,      "127",  426681.288862,  7665270.338224, 331.907258,     "",     24-04-2022/07:30:43.0   ,       MEAS;
                192938018,      "128",  426689.065755,  7665272.739335, 331.884572,     "",     24-04-2022/07:32:15.0   ,       MEAS;
                192938019,      "129",  426689.101931,  7665272.796085, 331.851410,     "",     24-04-2022/07:32:27.0   ,       MEAS;
                192938020,      "130",  426695.498709,  7665276.444784, 331.796466,     "",     24-04-2022/07:32:49.0   ,       MEAS;
                192938021,      "131",  426695.493185,  7665276.441468, 331.737685,     "",     24-04-2022/07:32:59.0   ,       MEAS;
                192938022,      "132",  426662.546044,  7665290.168344, 331.762705,     "",     24-04-2022/07:34:30.0   ,       MEAS;
                192938023,      "133",  426662.552271,  7665290.179522, 331.707554,     "",     24-04-2022/07:34:48.0   ,       MEAS;
                192938024,      "134",  426665.158105,  7665291.119703, 332.024055,     "",     24-04-2022/07:35:52.0   ,       MEAS;
                192938025,      "135",  426665.187247,  7665291.097325, 331.968924,     "",     24-04-2022/07:36:10.0   ,       MEAS;
                192938026,      "136",  426673.373934,  7665294.032123, 332.145735,     "",     24-04-2022/07:36:57.0   ,       MEAS;
                192938027,      "137",  426673.352222,  7665294.033703, 332.047788,     "",     24-04-2022/07:37:08.0   ,       MEAS;
                192938028,      "138",  426679.906317,  7665296.273042, 331.873768,     "",     24-04-2022/07:37:52.0   ,       MEAS;
                192938029,      "139",  426679.939654,  7665296.279322, 331.831417,     "",     24-04-2022/07:38:07.0   ,       MEAS;
                192938030,      "140",  426682.419365,  7665297.214329, 331.648528,     "",     24-04-2022/07:38:51.0   ,       MEAS;
                192938031,      "141",  426682.425061,  7665297.214205, 331.591105,     "",     24-04-2022/07:39:02.0   ,       MEAS;
                192938032,      "142",  426595.266545,  7665429.004258, 342.393182,     "",     24-04-2022/07:54:41.0   ,       MEAS;
                192938033,      "143",  426596.557072,  7665427.500776, 342.208234,     "",     24-04-2022/07:59:13.0   ,       MEAS;
                192938034,      "144",  426596.589195,  7665427.486257, 342.122371,     "",     24-04-2022/07:59:58.0   ,       MEAS;
                192938035,      "145",  426602.377593,  7665430.212921, 342.108370,     "",     24-04-2022/08:01:17.0   ,       MEAS;
                192938036,      "146",  426602.410068,  7665430.204972, 341.998108,     "",     24-04-2022/08:01:44.0   ,       MEAS;
