EADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E1"
                OPERATOR        "OO"
                CREATION_DATE   07-08-2020/06:34:21.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                142606341,      "101",  ,       ,       876.485890,     "",    07-08-2020/06:58:48.0    ,       MEAS;
                142606344,      "102",  398093.452121,  7607045.477218, 881.228180,     "",     07-08-2020/07:57:55.0   ,       MEAS;
                142606345,      "103",  398093.441263,  7607045.484540, 881.150038,     "",     07-08-2020/07:58:46.0   ,       MEAS;
                142606346,      "104",  398113.564260,  7607059.631668, 880.098349,     "",     07-08-2020/07:59:55.0   ,       MEAS;
                142606347,      "105",  398113.556666,  7607059.610434, 879.962949,     "",     07-08-2020/08:00:19.0   ,       MEAS;
                142606348,      "106",  398133.325770,  7607074.365004, 878.667187,     "",     07-08-2020/08:01:39.0   ,       MEAS;
                142606349,      "107",  398133.375521,  7607074.329138, 878.541294,     "",     07-08-2020/08:01:59.0   ,       MEAS;
                142606350,      "108",  398152.938300,  7607092.410303, 877.984834,     "",     07-08-2020/08:03:14.0   ,       MEAS;
                142606351,      "109",  398152.935740,  7607092.419176, 877.908114,     "",     07-08-2020/08:03:34.0   ,       MEAS;
                142606352,      "110",  398149.491428,  7607095.557877, 877.964627,     "",     07-08-2020/08:05:08.0   ,       MEAS;
                142606353,      "111",  398149.528103,  7607095.561823, 877.849953,     "",     07-08-2020/08:05:22.0   ,       MEAS;
                142606354,      "112",  398130.139821,  7607079.810071, 878.595892,     "",     07-08-2020/08:07:01.0   ,       MEAS;
                142606355,      "113",  398130.141392,  7607079.818107, 878.511707,     "",     07-08-2020/08:07:17.0   ,       MEAS;
                142606356,      "114",  398111.524384,  7607063.090816, 879.922938,     "",     07-08-2020/08:08:17.0   ,       MEAS;
                142606357,      "115",  398111.534828,  7607063.117712, 879.865444,     "",     07-08-2020/08:08:35.0   ,       MEAS;
                142606358,      "116",  398090.857532,  7607048.314396, 881.449608,     "",     07-08-2020/08:09:38.0   ,       MEAS;
                142606359,      "117",  398090.864576,  7607048.326979, 881.363562,     "",     07-08-2020/08:09:55.0   ,       MEAS;
                142606360,      "118",  398088.246162,  7607051.880219, 881.279971,     "",     07-08-2020/08:12:04.0   ,       MEAS;
                142606361,      "119",  398088.255956,  7607051.871014, 881.246566,     "",     07-08-2020/08:12:25.0   ,       MEAS;
                142606362,      "120",  398107.545828,  7607068.021505, 879.758396,     "",     07-08-2020/08:13:38.0   ,       MEAS;
                142606363,      "121",  398107.559789,  7607068.023717, 879.690269,     "",     07-08-2020/08:13:54.0   ,       MEAS;
                142606364,      "122",  398127.024070,  7607082.656323, 878.517846,     "",     07-08-2020/08:14:46.0   ,       MEAS;
                142606365,      "123",  398127.001165,  7607082.669123, 878.487486,     "",     07-08-2020/08:15:02.0   ,       MEAS;
                142606366,      "124",  398146.999647,  7607098.210678, 877.794627,     "",     07-08-2020/08:16:00.0   ,       MEAS;
                142606367,      "125",  398146.975373,  7607098.187883, 877.703993,     "",     07-08-2020/08:16:15.0   ,       MEAS;
                142606368,      "126",  398144.864973,  7607100.859873, 877.801181,     "",     07-08-2020/08:18:00.0   ,       MEAS;
                142606369,      "127",  398144.884084,  7607100.915230, 877.771884,     "",     07-08-2020/08:18:18.0   ,       MEAS;
                142606370,      "128",  398125.743118,  7607084.938406, 878.477571,     "",     07-08-2020/08:19:09.0   ,       MEAS;
                142606371,      "129",  398125.747394,  7607084.952491, 878.403267,     "",     07-08-2020/08:19:20.0   ,       MEAS;
                142606372,      "130",  398106.317032,  7607068.694395, 879.854146,     "",     07-08-2020/08:20:38.0   ,       MEAS;
                142606373,      "131",  398106.322069,  7607068.705279, 879.736441,     "",     07-08-2020/08:20:54.0   ,       MEAS;
                142606374,      "132",  398087.249679,  7607053.322503, 881.352926,     "",     07-08-2020/08:21:52.0   ,       MEAS;
                142606375,      "133",  398087.266337,  7607053.347949, 881.306766,     "",     07-08-2020/08:22:04.0   ,       MEAS;
                142606376,      "134",  398086.402709,  7607054.425773, 881.327409,     "",     07-08-2020/08:23:42.0   ,       MEAS;
                142606377,      "135",  398086.436958,  7607054.424056, 881.208046,     "",     07-08-2020/08:24:00.0   ,       MEAS;
                142606378,      "136",  398105.407595,  7607070.186611, 879.892899,     "",     07-08-2020/08:25:38.0   ,       MEAS;
                142606379,      "137",  398105.438236,  7607070.208798, 879.777968,     "",     07-08-2020/08:25:54.0   ,       MEAS;
                142606380,      "138",  398124.390365,  7607086.814767, 878.439251,     "",     07-08-2020/08:27:14.0   ,       MEAS;
                142606381,      "139",  398124.404332,  7607086.854410, 878.380807,     "",     07-08-2020/08:27:25.0   ,       MEAS;
                142606382,      "140",  398143.816653,  7607102.188879, 877.859253,     "",     07-08-2020/08:28:33.0   ,       MEAS;
                142606383,      "141",  398143.818612,  7607102.165725, 877.784879,     "",     07-08-2020/08:28:45.0   ,       MEAS;
                142606384,      "142",  398041.503773,  7607144.598715, 879.418953,     "",     07-08-2020/08:45:58.0   ,       MEAS;
                142606385,      "143",  398041.504179,  7607144.614567, 879.341456,     "",     07-08-2020/08:47:05.0   ,       MEAS;
                142606386,      "144",  398065.358666,  7607151.375538, 878.150440,     "",     07-08-2020/08:47:59.0   ,       MEAS;
                142606387,      "145",  398065.347799,  7607151.355803, 878.110304,     "",     07-08-2020/08:48:13.0   ,       MEAS;
                142606388,      "146",  398089.581910,  7607158.573247, 876.907083,     "",     07-08-2020/08:48:56.0   ,       MEAS;
