HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP12"
                OPERATOR        "EF"
                CREATION_DATE   06-07-2022/08:09:22.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                444596229,      "101",  ,       ,       349.134346,     "",    06-07-2022/09:08:46.0    ,       MEAS;
                444596232,      "102",  427287.086618,  7663240.322413, 350.547049,     "",     06-07-2022/09:11:09.0   ,       MEAS;
                444596233,      "103",  427287.105218,  7663240.302575, 350.472749,     "",     06-07-2022/09:11:25.0   ,       MEAS;
                444596234,      "104",  427287.625632,  7663245.593590, 350.956479,     "",     06-07-2022/09:12:06.0   ,       MEAS;
                444596235,      "105",  427287.586010,  7663245.674134, 350.453197,     "",     06-07-2022/09:12:26.0   ,       MEAS;
                444596236,      "106",  427288.319483,  7663251.123580, 350.946895,     "",     06-07-2022/09:12:50.0   ,       MEAS;
                444596237,      "107",  427288.332705,  7663251.062482, 350.611961,     "",     06-07-2022/09:13:07.0   ,       MEAS;
                444596238,      "108",  427289.119512,  7663260.206258, 350.450053,     "",     06-07-2022/09:13:51.0   ,       MEAS;
                444596239,      "109",  427289.175679,  7663260.134798, 349.887384,     "",     06-07-2022/09:14:04.0   ,       MEAS;
                444596240,      "110",  427291.093253,  7663269.778048, 350.636062,     "",     06-07-2022/09:14:47.0   ,       MEAS;
                444596241,      "111",  427291.073622,  7663269.800968, 350.408913,     "",     06-07-2022/09:15:08.0   ,       MEAS;
                444596242,      "112",  427319.183065,  7663259.173537, 349.407566,     "",     06-07-2022/09:16:06.0   ,       MEAS;
                444596243,      "113",  427319.194640,  7663259.013243, 349.017896,     "",     06-07-2022/09:16:18.0   ,       MEAS;
                444596244,      "114",  427317.719449,  7663253.917556, 349.453490,     "",     06-07-2022/09:16:49.0   ,       MEAS;
                444596245,      "115",  427317.712726,  7663253.939030, 348.910559,     "",     06-07-2022/09:16:57.0   ,       MEAS;
                444596246,      "116",  427315.322960,  7663246.473996, 349.568265,     "",     06-07-2022/09:17:34.0   ,       MEAS;
                444596247,      "117",  427315.366482,  7663246.378250, 349.262228,     "",     06-07-2022/09:17:46.0   ,       MEAS;
                444596248,      "118",  427313.150544,  7663239.380407, 349.449980,     "",     06-07-2022/09:18:13.0   ,       MEAS;
                444596249,      "119",  427313.292657,  7663239.253013, 348.944266,     "",     06-07-2022/09:18:25.0   ,       MEAS;
                444596250,      "120",  427311.326980,  7663232.861795, 349.695444,     "",     06-07-2022/09:18:58.0   ,       MEAS;
                444596251,      "121",  427311.285158,  7663232.886424, 349.172412,     "",     06-07-2022/09:19:13.0   ,       MEAS;
                444596252,      "122",  427334.118624,  7663226.413856, 349.004792,     "",     06-07-2022/09:20:15.0   ,       MEAS;
                444596253,      "123",  427334.192231,  7663226.359678, 348.499861,     "",     06-07-2022/09:20:28.0   ,       MEAS;
                444596254,      "124",  427335.996456,  7663231.618351, 349.240690,     "",     06-07-2022/09:20:54.0   ,       MEAS;
                444596255,      "125",  427336.057748,  7663231.626168, 348.804223,     "",     06-07-2022/09:21:04.0   ,       MEAS;
                444596256,      "126",  427338.796553,  7663238.197471, 349.211832,     "",     06-07-2022/09:21:40.0   ,       MEAS;
                444596257,      "127",  427338.773962,  7663238.052080, 348.881049,     "",     06-07-2022/09:21:51.0   ,       MEAS;
                444596258,      "128",  427341.725924,  7663244.915813, 349.182741,     "",     06-07-2022/09:22:37.0   ,       MEAS;
                444596259,      "129",  427341.651760,  7663244.998613, 348.752700,     "",     06-07-2022/09:22:52.0   ,       MEAS;
                444596260,      "130",  427343.721703,  7663250.144279, 348.959151,     "",     06-07-2022/09:23:30.0   ,       MEAS;
                444596261,      "131",  427343.730691,  7663250.083213, 348.710939,     "",     06-07-2022/09:23:45.0   ,       MEAS;
                444596262,      "132",  427367.055520,  7663241.229449, 348.520506,     "",     06-07-2022/09:24:46.0   ,       MEAS;
                444596263,      "133",  427367.053615,  7663241.188325, 348.158594,     "",     06-07-2022/09:25:08.0   ,       MEAS;
                444596264,      "134",  427364.058521,  7663237.323757, 348.434896,     "",     06-07-2022/09:25:53.0   ,       MEAS;
                444596265,      "135",  427364.079369,  7663237.248571, 348.048550,     "",     06-07-2022/09:26:04.0   ,       MEAS;
                444596266,      "136",  427358.741428,  7663231.062731, 348.324231,     "",     06-07-2022/09:26:30.0   ,       MEAS;
                444596267,      "137",  427358.823854,  7663231.050159, 348.200139,     "",     06-07-2022/09:26:49.0   ,       MEAS;
                444596268,      "138",  427356.338670,  7663224.973865, 348.465011,     "",     06-07-2022/09:27:15.0   ,       MEAS;
                444596269,      "139",  427356.380810,  7663224.937650, 348.047641,     "",     06-07-2022/09:27:28.0   ,       MEAS;
                444596270,      "140",  427355.503204,  7663220.014120, 348.449389,     "",     06-07-2022/09:28:07.0   ,       MEAS;
                444596271,      "141",  427355.496263,  7663220.003262, 348.133032,     "",     06-07-2022/09:28:27.0   ,       MEAS;
                444596272,      "142",  427428.560355,  7663198.971289, 350.009088,     "",     06-07-2022/09:31:46.0   ,       MEAS;
                444596273,      "143",  427428.575351,  7663198.997247, 349.437880,     "",     06-07-2022/09:32:21.0   ,       MEAS;
                444596274,      "144",  427421.797728,  7663192.919118, 350.074222,     "",     06-07-2022/09:32:59.0   ,       MEAS;
                444596275,      "145",  427421.763596,  7663192.917938, 349.752173,     "",     06-07-2022/09:33:14.0   ,       MEAS;
