HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP1"
                OPERATOR        "EH"
                CREATION_DATE   03-02-2021/00:05:06.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                276824069,      "101",  ,       ,       876.003731,     "",    03-02-2021/00:25:00.0    ,       MEAS;
                276824074,      "102",  398117.474030,  7607168.749543, 874.993834,     "0",    03-02-2021/01:22:06.0   ,       MEAS;
                276824077,      "103",  398117.439520,  7607168.796746, 874.686970,     "0",    03-02-2021/01:23:03.0   ,       MEAS;
                276824080,      "104",  398116.411150,  7607170.841706, 874.961994,     "0",    03-02-2021/01:34:40.0   ,       MEAS;
                276824083,      "105",  398116.517913,  7607170.849768, 874.468678,     "0",    03-02-2021/01:35:20.0   ,       MEAS;
                276824086,      "106",  398115.293945,  7607174.002675, 874.949713,     "0",    03-02-2021/01:36:19.0   ,       MEAS;
                276824089,      "107",  398115.349569,  7607174.024038, 874.760293,     "0",    03-02-2021/01:37:11.0   ,       MEAS;
                276824092,      "108",  398114.886197,  7607175.776741, 874.849431,     "0",    03-02-2021/01:38:13.0   ,       MEAS;
                276824095,      "109",  398114.990567,  7607175.791177, 874.607676,     "0",    03-02-2021/01:38:48.0   ,       MEAS;
                276824098,      "110",  398115.366587,  7607179.144190, 874.601304,     "0",    03-02-2021/01:39:32.0   ,       MEAS;
                276824101,      "111",  398115.372967,  7607179.149411, 874.210926,     "0",    03-02-2021/01:40:09.0   ,       MEAS;
                276824104,      "112",  398088.608963,  7607172.465541, 875.692852,     "0",    03-02-2021/01:45:27.0   ,       MEAS;
                276824107,      "113",  398088.612464,  7607172.466417, 875.415960,     "0",    03-02-2021/01:45:55.0   ,       MEAS;
                276824110,      "114",  398089.525090,  7607169.095927, 875.746853,     "0",    03-02-2021/01:46:48.0   ,       MEAS;
                276824113,      "115",  398089.669707,  7607169.034199, 875.521320,     "0",    03-02-2021/01:47:31.0   ,       MEAS;
                276824116,      "116",  398090.580268,  7607165.757742, 875.897793,     "0",    03-02-2021/01:48:27.0   ,       MEAS;
                276824119,      "117",  398090.578455,  7607165.782018, 875.450422,     "0",    03-02-2021/01:49:03.0   ,       MEAS;
                276824122,      "118",  398090.683356,  7607162.479558, 876.083067,     "0",    03-02-2021/01:51:34.0   ,       MEAS;
                276824125,      "119",  398090.683402,  7607162.415730, 875.894671,     "0",    03-02-2021/01:52:03.0   ,       MEAS;
                276824128,      "120",  398091.146968,  7607159.653915, 876.076627,     "0",    03-02-2021/01:52:41.0   ,       MEAS;
                276824131,      "121",  398091.281827,  7607159.572801, 875.996591,     "0",    03-02-2021/01:53:40.0   ,       MEAS;
                276824134,      "122",  398066.225146,  7607153.070854, 877.535014,     "0",    03-02-2021/01:59:28.0   ,       MEAS;
                276824137,      "123",  398066.258192,  7607153.078057, 877.164109,     "0",    03-02-2021/01:59:48.0   ,       MEAS;
                276824140,      "124",  398065.399319,  7607156.776151, 877.318072,     "0",    03-02-2021/02:00:38.0   ,       MEAS;
                276824143,      "125",  398065.446201,  7607156.773852, 876.919347,     "0",    03-02-2021/02:00:57.0   ,       MEAS;
                276824146,      "126",  398065.224247,  7607158.803987, 877.271330,     "0",    03-02-2021/02:01:31.0   ,       MEAS;
