EP16
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                25165829,       "101",  ,       ,       313.914367,     "",    13-04-2022/09:25:00.0    ,       MEAS;
                25165832,       "1",    427377.619826,  7675653.434613, 314.512094,     "",     13-04-2022/09:37:39.0   ,       MEAS;
                25165833,       "2",    427377.559063,  7675653.346908, 314.447762,     "",     13-04-2022/09:38:14.0   ,       MEAS;
                25165834,       "3",    427373.828909,  7675630.852630, 314.467799,     "",     13-04-2022/09:39:12.0   ,       MEAS;
                25165835,       "4",    427373.786018,  7675630.776685, 314.370150,     "",     13-04-2022/09:39:57.0   ,       MEAS;
                25165836,       "5",    427370.569207,  7675606.528763, 314.364249,     "",     13-04-2022/09:41:17.0   ,       MEAS;
                25165837,       "6",    427370.552464,  7675606.475019, 314.314364,     "",     13-04-2022/09:41:56.0   ,       MEAS;
                25165838,       "7",    427366.914421,  7675581.452045, 314.237071,     "",     13-04-2022/09:43:40.0   ,       MEAS;
                25165839,       "8",    427366.854056,  7675581.471885, 314.178013,     "",     13-04-2022/09:43:56.0   ,       MEAS;
                25165840,       "9",    427360.824521,  7675580.666369, 314.336654,     "",     13-04-2022/09:45:20.0   ,       MEAS;
                25165841,       "10",   427360.894633,  7675580.669759, 314.296116,     "",     13-04-2022/09:45:42.0   ,       MEAS;
                25165842,       "11",   427366.916936,  7675603.803395, 314.414346,     "",     13-04-2022/09:46:59.0   ,       MEAS;
                25165843,       "12",   427366.891426,  7675603.736077, 314.391331,     "",     13-04-2022/09:47:14.0   ,       MEAS;
                25165844,       "13",   427372.545239,  7675626.765098, 314.498304,     "",     13-04-2022/09:48:06.0   ,       MEAS;
                25165845,       "14",   427372.549657,  7675626.692082, 314.452045,     "",     13-04-2022/09:48:19.0   ,       MEAS;
                25165846,       "15",   427378.110029,  7675650.675606, 314.403446,     "",     13-04-2022/09:51:05.0   ,       MEAS;
                25165847,       "16",   427378.075400,  7675650.572163, 314.402642,     "",     13-04-2022/09:52:11.0   ,       MEAS;
                25165848,       "17",   427373.260821,  7675653.451534, 314.504138,     "",     13-04-2022/09:55:20.0   ,       MEAS;
                25165849,       "18",   427373.276171,  7675653.433196, 314.482727,     "",     13-04-2022/09:55:42.0   ,       MEAS;
                25165850,       "19",   427367.422980,  7675631.417628, 314.591003,     "",     13-04-2022/09:56:37.0   ,       MEAS;
                25165851,       "20",   427367.423471,  7675631.412690, 314.560724,     "",     13-04-2022/09:57:07.0   ,       MEAS;
                25165852,       "21",   427362.186429,  7675606.218733, 314.488219,     "",     13-04-2022/09:58:22.0   ,       MEAS;
                25165853,       "22",   427362.233075,  7675606.255759, 314.461384,     "",     13-04-2022/09:58:37.0   ,       MEAS;
                25165854,       "23",   427356.429393,  7675583.293604, 314.394090,     "",     13-04-2022/10:00:58.0   ,       MEAS;
                25165855,       "24",   427356.412249,  7675583.319394, 314.372925,     "",     13-04-2022/10:01:23.0   ,       MEAS;
                25165856,       "25",   427349.830109,  7675582.702460, 314.551078,     "",     13-04-2022/10:02:53.0   ,       MEAS;
                25165857,       "26",   427349.865088,  7675582.701319, 314.477437,     "",     13-04-2022/10:03:26.0   ,       MEAS;
                25165858,       "27",   427356.480485,  7675607.188050, 314.601136,     "",     13-04-2022/10:04:22.0   ,       MEAS;
                25165859,       "28",   427356.472627,  7675607.147690, 314.554948,     "",     13-04-2022/10:04:34.0   ,       MEAS;
                25165860,       "29",   427362.315461,  7675631.636107, 314.673357,     "",     13-04-2022/10:06:12.0   ,       MEAS;
                25165861,       "30",   427362.327887,  7675631.684887, 314.628581,     "",     13-04-2022/10:06:26.0   ,       MEAS;
                25165862,       "31",   427366.565104,  7675655.351126, 314.554645,     "",     13-04-2022/10:10:49.0   ,       MEAS;
                25165863,       "32",   427366.524734,  7675655.336531, 314.512800,     "",     13-04-2022/10:11:04.0   ,       MEAS;
                25165864,       "33",   427359.106713,  7675656.426161, 314.682028,     "",     13-04-2022/10:13:58.0   ,       MEAS;
                25165865,       "34",   427359.099973,  7675656.408074, 314.682153,     "",     13-04-2022/10:14:39.0   ,       MEAS;
                25165866,       "35",   427354.647116,  7675634.387494, 314.614106,     "",     13-04-2022/10:17:06.0   ,       MEAS;
                25165867,       "36",   427354.625781,  7675634.326418, 314.597071,     "",     13-04-2022/10:17:25.0   ,       MEAS;
                25165868,       "37",   427350.740538,  7675610.815849, 314.776543,     "",     13-04-2022/10:20:25.0   ,       MEAS;
                25165869,       "38",   427350.766953,  7675610.710989, 314.755795,     "",     13-04-2022/10:21:01.0   ,       MEAS;
                25165870,       "39",   427345.714251,  7675584.019307, 314.687054,     "",     13-04-2022/10:24:20.0   ,       MEAS;
                25165871,       "40",   427345.668048,  7675583.941836, 314.640991,     "",     13-04-2022/10:24:32.0   ,       MEAS;
                25165872,       "41",   427280.445248,  7675682.864220, 315.054388,     "",     13-04-2022/10:52:58.0   ,       MEAS;
                25165873,       "42",   427280.490823,  7675682.829214, 315.007996,     "",     13-04-2022/10:53:48.0   ,       MEAS;
                25165874,       "43",   427276.087621,  7675661.409688, 315.534792,     "",     13-04-2022/10:56:55.0   ,       MEAS;
                25165875,       "44",   427276.080493,  7675661.359791, 315.517416,     "",     13-04-2022/10:57:27.0   ,       MEAS;
                25165876,       "45",   427272.420737,  7675638.628353, 316.000258,     "",     13-04-2022/10:58:45.0   ,       MEAS;
                25165877,       "46",   427272.411800,  7675638.643745, 315.911082,     "",     13-04-2022/10:59:12.0   ,       MEAS;
                25165878,       "47",   427275.358642,  7675606.318997, 316.081560,     "",     13-04-2022/11:02:26.0   ,       MEAS;
                25165879,       "48",   427275.408241,  7675606.290689, 316.009735,     "",     13-04-2022/11:03:12.0   ,       MEAS;
                25165880,       "49",   427279.521247,  7675606.017728, 316.028093,     "",     13-04-2022/11:05:37.0   ,       MEAS;
                25165881,       "50",   427279.613448,  7675605.923545, 315.961611,     "",     13-04-2022/11:06:09.0   ,       MEAS;
                25165882,       "51",   427287.505197,  7675635.175454, 315.776283,     "",     13-04-2022/11:07:45.0   ,       MEAS;
                25165883,       "52",   427287.524598,  7675635.181631, 315.714731,     "",     13-04-2022/11:08:12.0   ,       MEAS;
                25165884,       "53",   427293.530974,  7675657.063585, 315.451545,     "",     13-04-2022/11:09:27.0   ,       MEAS;
                25165885,       "54",   427293.538229,  7675657.054119, 315.329673,     "",     13-04-2022/11:09:48.0   ,       MEAS;
                25165886,       "55",   427299.747010,  7675680.935299, 314.966464,     "",     13-04-2022/11:13:24.0   ,       MEAS;
                25165887,       "56",   427299.819612,  7675680.849960, 314.822530,     "",     13-04-2022/11:13:54.0   ,       MEAS;
                25165888,       "57",   427316.694204,  7675676.960839, 314.971715,     "",     13-04-2022/11:16:33.0   ,       MEAS;
                25165889,       "58",   427316.718956,  7675676.869500, 314.864705,     "",     13-04-2022/11:16:52.0   ,       MEAS;
                25165890,       "59",   427310.161082,  7675654.318841, 315.294826,     "",     13-04-2022/11:18:49.0   ,       MEAS;
                25165891,       "60",   427310.289895,  7675654.376764, 315.197730,     "",     13-04-2022/11:19:17.0   ,       MEAS;
                25165892,       "61",   427302.784149,  7675630.737130, 315.698967,     "",     13-04-2022/11:21:22.0   ,       MEAS;
                25165893,       "62",   427302.792622,  7675630.679025, 315.583587,     "",     13-04-2022/11:21:50.0   ,       MEAS;
                25165894,       "63",   427295.456793,  7675605.444182, 315.673646,     "",     13-04-2022/11:29:48.0   ,       MEAS;
                25165895,       "64",   427295.613890,  7675605.432777, 315.547754,     "",     13-04-2022/11:30:11.0   ,       MEAS;
                25165896,       "65",   427304.826646,  7675602.781919, 315.519407,     "",     13-04-2022/11:32:19.0   ,       MEAS;
                25165897,       "66",   427304.861380,  7675602.859497, 315.463711,     "",     13-04-2022/11:32:40.0   ,       MEAS;
                25165898,       "67",   427313.200395,  7675626.991935, 315.493714,     "",     13-04-2022/11:34:04.0   ,       MEAS;
                25165899,       "68",   427313.253061,  7675626.928935, 315.365355,     "",     13-04-2022/11:34:15.0   ,       MEAS;
                25165900,       "69",   427317.126937,  7675651.535378, 315.191387,     "",     13-04-2022/11:35:41.0   ,       MEAS;
                25165901,       "70",   427317.122976,  7675651.512971, 315.139335,     "",     13-04-2022/11:36:03.0   ,       MEAS;
                25165902,       "71",   427321.128627,  7675675.241837, 314.954780,     "",     13-04-2022/11:39:33.0   ,       MEAS;
                25165903,       "72",   427321.144516,  7675675.228851, 314.884106,     "",     13-04-2022/11:39:52.0   ,       MEAS;
                25165904,       "73",   427325.540583,  7675675.275800, 314.917779,     "",     13-04-2022/11:44:46.0   ,       MEAS;
                25165905,       "74",   427325.612720,  7675675.160782, 314.862547,     "",     13-04-2022/11:45:02.0   ,       MEAS;
                25165906,       "75",   427321.046557,  7675650.342481, 315.221663,     "",     13-04-2022/11:47:40.0   ,       MEAS;
                25165907,       "76",   427320.999169,  7675650.267854, 315.114682,     "",     13-04-2022/11:47:57.0   ,       MEAS;
                25165908,       "77",   427316.389606,  7675626.205813, 315.479901,     "",     13-04-2022/11:50:18.0   ,       MEAS;
                25165909,       "78",   427316.348972,  7675626.163429, 315.312291,     "",     13-04-2022/11:50:30.0   ,       MEAS;
                25165910,       "79",   427312.224570,  7675601.242116, 315.406128,     "",     13-04-2022/11:53:23.0   ,       MEAS;
                25165911,       "80",   427312.169728,  7675601.157236, 315.357549,     "",     13-04-2022/11:53:38.0   ,       MEAS;
                25165912,       "81",   427209.058063,  7675449.733982, 315.725532,     "",     13-04-2022/12:10:54.0   ,       MEAS;
                25165913,       "82",   427209.082825,  7675449.679350, 315.645260,     "",     13-04-2022/12:11:24.0   ,       MEAS;
                25165914,       "83",   427220.389453,  7675473.830822, 315.850345,     "",     13-04-2022/12:12:48.0   ,       MEAS;
                25165915,       "84",   427220.320166,  7675473.925054, 315.806375,     "",     13-04-2022/12:14:01.0   ,       MEAS;
                25165916,       "85",   427228.153435,  7675491.771241, 315.896305,     "",     13-04-2022/12:17:45.0   ,       MEAS;
                25165917,       "86",   427228.191626,  7675491.830154, 315.878372,     "",     13-04-2022/12:20:28.0   ,       MEAS;
                25165918,       "87",   427228.217520,  7675491.823966, 315.851535,     "",     13-04-2022/12:20:47.0   ,       MEAS;
                25165919,       "88",   427240.983372,  7675516.261737, 316.079784,     "",     13-04-2022/12:21:56.0   ,       MEAS;
                25165920,       "89",   427241.030054,  7675516.315719, 316.053896,     "",     13-04-2022/12:22:24.0   ,       MEAS;
                25165921,       "90",   427245.860030,  7675516.264439, 316.005513,     "",     13-04-2022/12:23:36.0   ,       MEAS;
                25165922,       "91",   427245.879899,  7675516.253858, 315.982591,     "",     13-04-2022/12:23:48.0   ,       MEAS;
                25165923,       "92",   427242.459821,  7675494.575434, 315.568242,     "",     13-04-2022/12:25:05.0   ,       MEAS;
                25165924,       "93",   427242.485864,  7675494.610475, 315.494800,     "",     13-04-2022/12:25:31.0   ,       MEAS;
                25165925,       "94",   427233.701744,  7675473.319443, 315.530689,     "",     13-04-2022/12:26:43.0   ,       MEAS;
                25165926,       "95",   427233.749802,  7675473.328517, 315.518610,     "",     13-04-2022/12:27:02.0   ,       MEAS;
                25165927,       "96",   427225.857610,  7675456.434174, 315.362000,     "",     13-04-2022/12:27:40.0   ,       MEAS;
                25165928,       "97",   427225.914537,  7675456.509074, 315.312866,     "",     13-04-2022/12:28:04.0   ,       MEAS;
                25165929,       "98",   427234.852884,  7675452.554729, 315.135025,     "",     13-04-2022/12:29:54.0   ,       MEAS;
                25165930,       "99",   427234.814903,  7675452.477931, 315.112209,     "",     13-04-2022/12:30:10.0   ,       MEAS;
