T10
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                226492421,      "101",  ,       ,       582.570656,     "",    26-04-2022/09:29:36.0    ,       MEAS;
                226492426,      "101",  419804.754214,  7622749.666455, 592.691847,     "",     26-04-2022/09:35:51.0   ,       MEAS;
                226492429,      "102",  419864.509121,  7622721.828632, 592.741167,     "",     26-04-2022/09:53:02.0   ,       MEAS;
                226492430,      "103",  419864.468116,  7622721.896942, 592.608465,     "",     26-04-2022/09:53:16.0   ,       MEAS;
                226492431,      "104",  419865.583012,  7622721.897045, 592.279114,     "",     26-04-2022/09:53:39.0   ,       MEAS;
                226492432,      "105",  419865.578641,  7622721.972854, 592.124939,     "",     26-04-2022/09:53:51.0   ,       MEAS;
                226492433,      "106",  419866.580502,  7622721.861992, 592.568697,     "",     26-04-2022/09:54:45.0   ,       MEAS;
                226492434,      "107",  419866.570561,  7622721.840301, 592.480007,     "",     26-04-2022/09:54:54.0   ,       MEAS;
                226492435,      "108",  419853.231027,  7622733.687371, 592.623863,     "",     26-04-2022/09:55:37.0   ,       MEAS;
                226492436,      "109",  419853.184279,  7622733.646250, 592.533554,     "",     26-04-2022/09:55:45.0   ,       MEAS;
                226492437,      "110",  419866.153874,  7622730.495059, 592.101197,     "",     26-04-2022/09:56:59.0   ,       MEAS;
                226492438,      "111",  419866.181198,  7622730.539085, 591.922272,     "",     26-04-2022/09:57:09.0   ,       MEAS;
                226492439,      "112",  419886.723278,  7622729.665368, 592.607171,     "",     26-04-2022/09:57:59.0   ,       MEAS;
                226492440,      "113",  419886.738423,  7622729.769051, 592.462930,     "",     26-04-2022/09:58:09.0   ,       MEAS;
                226492441,      "114",  419866.254696,  7622734.659773, 592.525085,     "",     26-04-2022/09:58:56.0   ,       MEAS;
                226492442,      "115",  419866.256651,  7622734.674422, 592.444820,     "",     26-04-2022/09:59:03.0   ,       MEAS;
                226492443,      "116",  419867.310491,  7622734.445315, 592.304866,     "",     26-04-2022/09:59:23.0   ,       MEAS;
                226492444,      "117",  419867.274147,  7622734.440022, 592.210444,     "",     26-04-2022/09:59:29.0   ,       MEAS;
                226492445,      "118",  419867.958948,  7622734.311733, 592.587600,     "",     26-04-2022/09:59:46.0   ,       MEAS;
