TP6
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                260046854,      "101",  ,       ,       778.810552,     "",    29-04-2022/04:31:49.0    ,       MEAS;
                260046857,      "102",  412911.890085,  7619364.566407, 778.391629,     "",     29-04-2022/04:42:47.0   ,       MEAS;
                260046858,      "103",  412911.885746,  7619364.552153, 778.212348,     "",     29-04-2022/04:42:58.0   ,       MEAS;
                260046859,      "104",  412912.281856,  7619363.536924, 778.037903,     "",     29-04-2022/04:43:13.0   ,       MEAS;
                260046860,      "105",  412912.284907,  7619363.545403, 777.923485,     "",     29-04-2022/04:43:20.0   ,       MEAS;
                260046861,      "106",  412912.561430,  7619362.188576, 778.422129,     "",     29-04-2022/04:43:47.0   ,       MEAS;
                260046862,      "107",  412912.566777,  7619362.198609, 778.286305,     "",     29-04-2022/04:43:56.0   ,       MEAS;
                260046863,      "108",  412914.096276,  7619366.821776, 778.441966,     "",     29-04-2022/04:46:00.0   ,       MEAS;
                260046864,      "109",  412914.104063,  7619366.829126, 778.350263,     "",     29-04-2022/04:46:08.0   ,       MEAS;
                260046865,      "110",  412915.348944,  7619363.729590, 777.615667,     "",     29-04-2022/04:47:23.0   ,       MEAS;
                260046866,      "111",  412915.344867,  7619363.705327, 777.505515,     "",     29-04-2022/04:47:34.0   ,       MEAS;
                260046867,      "112",  412917.336280,  7619360.823682, 778.445130,     "",     29-04-2022/04:48:18.0   ,       MEAS;
                260046868,      "113",  412917.323244,  7619360.820830, 778.302039,     "",     29-04-2022/04:48:27.0   ,       MEAS;
                260046869,      "114",  412918.435106,  7619363.691358, 778.390163,     "",     29-04-2022/04:49:01.0   ,       MEAS;
                260046870,      "115",  412918.421309,  7619363.682918, 778.156492,     "",     29-04-2022/04:49:11.0   ,       MEAS;
                260046871,      "116",  412918.942661,  7619363.043213, 778.370718,     "",     29-04-2022/04:49:56.0   ,       MEAS;
                260046872,      "117",  412918.916531,  7619363.031395, 778.104297,     "",     29-04-2022/04:50:28.0   ,       MEAS;
                260046873,      "118",  412918.676683,  7619363.256273, 778.164654,     "",     29-04-2022/04:50:47.0   ,       MEAS;
                260046874,      "119",  412918.670835,  7619363.251358, 777.982697,     "",     29-04-2022/04:50:57.0   ,       MEAS;
                260046875,      "120",  412857.590104,  7619329.433425, 778.727362,     "",     29-04-2022/04:53:27.0   ,       MEAS;
                260046876,      "121",  412857.598517,  7619329.434956, 778.610567,     "",     29-04-2022/04:53:36.0   ,       MEAS;
                260046877,      "122",  412858.564602,  7619328.798928, 778.607913,     "",     29-04-2022/04:53:50.0   ,       MEAS;
                260046878,      "123",  412858.566989,  7619328.819053, 778.421005,     "",     29-04-2022/04:53:59.0   ,       MEAS;
                260046879,      "124",  412859.755466,  7619328.302953, 778.750779,     "",     29-04-2022/04:54:16.0   ,       MEAS;
                260046880,      "125",  412859.750733,  7619328.297879, 778.604890,     "",     29-04-2022/04:54:25.0   ,       MEAS;
                260046881,      "126",  412854.842913,  7619346.193898, 778.584388,     "",     29-04-2022/04:55:19.0   ,       MEAS;
                260046882,      "127",  412854.850254,  7619346.183074, 778.448979,     "",     29-04-2022/04:55:27.0   ,       MEAS;
                260046883,      "128",  412859.037657,  7619339.749641, 778.233287,     "",     29-04-2022/04:56:08.0   ,       MEAS;
                260046884,      "129",  412859.067851,  7619339.733690, 778.016602,     "",     29-04-2022/04:56:19.0   ,       MEAS;
                260046885,      "130",  412859.254968,  7619335.754304, 778.473168,     "",     29-04-2022/04:56:47.0   ,       MEAS;
