HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E8"
                OPERATOR        "EF"
                CREATION_DATE   12-08-2020/04:13:00.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                209715205,      "101",  ,       ,       571.593008,     "",    12-08-2020/04:22:23.0    ,       MEAS;
                209715208,      "102",  420521.148671,  7622406.149046, 572.058400,     "",     12-08-2020/04:32:50.0   ,       MEAS;
                209715209,      "103",  420521.154833,  7622406.135123, 571.958410,     "",     12-08-2020/04:33:02.0   ,       MEAS;
                209715210,      "104",  420524.191995,  7622406.268217, 571.965366,     "",     12-08-2020/04:34:28.0   ,       MEAS;
                209715211,      "105",  420524.197744,  7622406.238319, 571.953322,     "",     12-08-2020/04:34:39.0   ,       MEAS;
                209715212,      "106",  420529.676844,  7622406.173606, 571.939967,     "",     12-08-2020/04:36:13.0   ,       MEAS;
                209715213,      "107",  420529.681926,  7622406.167027, 571.930552,     "",     12-08-2020/04:36:21.0   ,       MEAS;
                209715214,      "108",  420531.406461,  7622406.003862, 571.972687,     "",     12-08-2020/04:38:14.0   ,       MEAS;
                209715215,      "109",  420531.403970,  7622406.017613, 571.909550,     "",     12-08-2020/04:38:23.0   ,       MEAS;
                209715216,      "110",  420532.720431,  7622406.585780, 571.860834,     "",     12-08-2020/04:39:22.0   ,       MEAS;
                209715217,      "111",  420532.721330,  7622406.584945, 571.800439,     "",     12-08-2020/04:39:32.0   ,       MEAS;
                209715218,      "112",  420520.351845,  7622380.372573, 572.258880,     "",     12-08-2020/04:41:43.0   ,       MEAS;
                209715219,      "113",  420520.335414,  7622380.358650, 572.229201,     "",     12-08-2020/04:41:53.0   ,       MEAS;
                209715220,      "114",  420525.528792,  7622380.496437, 572.348979,     "",     12-08-2020/04:42:27.0   ,       MEAS;
                209715221,      "115",  420525.528909,  7622380.496346, 572.308583,     "",     12-08-2020/04:42:37.0   ,       MEAS;
                209715222,      "116",  420532.163150,  7622380.988888, 572.073219,     "",     12-08-2020/04:43:11.0   ,       MEAS;
                209715223,      "117",  420532.162812,  7622380.994902, 572.011384,     "",     12-08-2020/04:43:19.0   ,       MEAS;
                209715224,      "118",  420534.449937,  7622381.946799, 571.893282,     "",     12-08-2020/04:44:22.0   ,       MEAS;
                209715225,      "119",  420534.475413,  7622381.932992, 571.800237,     "",     12-08-2020/04:44:35.0   ,       MEAS;
                209715226,      "120",  420533.361949,  7622381.553866, 571.981772,     "",     12-08-2020/04:47:07.0   ,       MEAS;
                209715227,      "121",  420533.357285,  7622381.545472, 571.890146,     "",     12-08-2020/04:47:18.0   ,       MEAS;
                209715228,      "122",  420518.904747,  7622353.139137, 572.602089,     "",     12-08-2020/04:48:42.0   ,       MEAS;
                209715229,      "123",  420518.908170,  7622353.127018, 572.527413,     "",     12-08-2020/04:48:53.0   ,       MEAS;
                209715230,      "124",  420527.179069,  7622353.752872, 572.452700,     "",     12-08-2020/04:49:32.0   ,       MEAS;
                209715231,      "125",  420527.182431,  7622353.758820, 572.407206,     "",     12-08-2020/04:49:44.0   ,       MEAS;
                209715232,      "126",  420534.254576,  7622356.456359, 572.353921,     "",     12-08-2020/04:50:52.0   ,       MEAS;
                209715233,      "127",  420534.243423,  7622356.463585, 572.311489,     "",     12-08-2020/04:51:01.0   ,       MEAS;
                209715234,      "128",  420536.880108,  7622356.751641, 572.301657,     "",     12-08-2020/04:51:34.0   ,       MEAS;
                209715235,      "129",  420536.885673,  7622356.736016, 572.225100,     "",     12-08-2020/04:51:47.0   ,       MEAS;
                209715236,      "130",  420537.969864,  7622356.414372, 572.253969,     "",     12-08-2020/04:52:30.0   ,       MEAS;
                209715237,      "131",  420537.980438,  7622356.423284, 572.195406,     "",     12-08-2020/04:52:40.0   ,       MEAS;
                209715238,      "132",  420522.312714,  7622330.416173, 572.835060,     "",     12-08-2020/04:56:01.0   ,       MEAS;
                209715239,      "133",  420522.304956,  7622330.418450, 572.791881,     "",     12-08-2020/04:56:13.0   ,       MEAS;
                209715240,      "134",  420528.211205,  7622330.445543, 572.830914,     "",     12-08-2020/04:58:15.0   ,       MEAS;
                209715241,      "135",  420528.187561,  7622330.426226, 572.807022,     "",     12-08-2020/04:58:27.0   ,       MEAS;
                209715242,      "136",  420536.469610,  7622331.788397, 572.688750,     "",     12-08-2020/04:59:55.0   ,       MEAS;
                209715243,      "137",  420536.453891,  7622331.792165, 572.630673,     "",     12-08-2020/05:00:06.0   ,       MEAS;
                209715244,      "138",  420539.445848,  7622331.903471, 572.691261,     "",     12-08-2020/05:01:29.0   ,       MEAS;
                209715245,      "139",  420539.433636,  7622331.901310, 572.648593,     "",     12-08-2020/05:01:39.0   ,       MEAS;
                209715246,      "140",  420541.068335,  7622332.108703, 572.670578,     "",     12-08-2020/05:02:49.0   ,       MEAS;
                209715247,      "141",  420541.106409,  7622332.102025, 572.590700,     "",     12-08-2020/05:02:59.0   ,       MEAS;
                209715248,      "142",  420588.721515,  7622393.698443, 571.777422,     "",     12-08-2020/05:27:14.0   ,       MEAS;
                209715249,      "143",  420588.728373,  7622393.714218, 571.716944,     "",     12-08-2020/05:27:25.0   ,       MEAS;
                209715250,      "144",  420591.362991,  7622393.666462, 571.783254,     "",     12-08-2020/05:28:19.0   ,       MEAS;
                209715251,      "145",  420591.356315,  7622393.670034, 571.734590,     "",     12-08-2020/05:28:29.0   ,       MEAS;
                209715252,      "146",  420597.518253,  7622393.678061, 571.598631,     "",     12-08-2020/05:29:45.0   ,       MEAS;
                209715253,      "147",  420597.523763,  7622393.674500, 571.517409,     "",     12-08-2020/05:29:53.0   ,       MEAS;
                209715254,      "148",  420602.140166,  7622394.161487, 571.534519,     "",     12-08-2020/05:30:53.0   ,       MEAS;
                209715255,      "149",  420602.131692,  7622394.157982, 571.478447,     "",     12-08-2020/05:31:02.0   ,       MEAS;
                209715256,      "150",  420605.155525,  7622394.408092, 571.497342,     "",     12-08-2020/05:32:23.0   ,       MEAS;
                209715257,      "151",  420605.143400,  7622394.397690, 571.411080,     "",     12-08-2020/05:32:32.0   ,       MEAS;
                209715258,      "152",  420588.067753,  7622366.772544, 572.380535,     "",     12-08-2020/05:35:30.0   ,       MEAS;
                209715259,      "153",  420588.088033,  7622366.787365, 572.315963,     "",     12-08-2020/05:35:39.0   ,       MEAS;
                209715260,      "154",  420591.524346,  7622367.171852, 572.210019,     "",     12-08-2020/05:36:10.0   ,       MEAS;
                209715261,      "155",  420591.513194,  7622367.166687, 572.106744,     "",     12-08-2020/05:36:19.0   ,       MEAS;
                209715262,      "156",  420598.924235,  7622368.481931, 571.911619,     "",     12-08-2020/05:36:50.0   ,       MEAS;
                209715263,      "157",  420598.931500,  7622368.513558, 571.864561,     "",     12-08-2020/05:36:58.0   ,       MEAS;
                209715264,      "158",  420602.700576,  7622368.260306, 572.145989,     "",     12-08-2020/05:37:40.0   ,       MEAS;
                209715265,      "159",  420602.708343,  7622368.256345, 572.076802,     "",     12-08-2020/05:37:47.0   ,       MEAS;
                209715266,      "160",  420605.874171,  7622368.467024, 571.961510,     "",     12-08-2020/05:38:21.0   ,       MEAS;
                209715267,      "161",  420605.899926,  7622368.465619, 571.934534,     "",     12-08-2020/05:38:30.0   ,       MEAS;
                209715268,      "162",  420587.389664,  7622340.081928, 572.762449,     "",     12-08-2020/05:39:46.0   ,       MEAS;
                209715269,      "163",  420587.382282,  7622340.086739, 572.682947,     "",     12-08-2020/05:39:57.0   ,       MEAS;
                209715270,      "164",  420593.668934,  7622341.696818, 572.758255,     "",     12-08-2020/05:40:41.0   ,       MEAS;
                209715271,      "165",  420593.674307,  7622341.713644, 572.741329,     "",     12-08-2020/05:40:48.0   ,       MEAS;
                209715272,      "166",  420599.452673,  7622343.690739, 572.765504,     "",     12-08-2020/05:41:13.0   ,       MEAS;
                209715273,      "167",  420599.446157,  7622343.691911, 572.688470,     "",     12-08-2020/05:41:21.0   ,       MEAS;
                209715274,      "168",  420605.870004,  7622344.396058, 572.738352,     "",     12-08-2020/05:41:53.0   ,       MEAS;
                209715275,      "169",  420605.849082,  7622344.391368, 572.661228,     "",     12-08-2020/05:42:00.0   ,       MEAS;
                209715276,      "170",  420609.177379,  7622344.984493, 572.773007,     "",     12-08-2020/05:42:26.0   ,       MEAS;
                209715277,      "171",  420609.204973,  7622344.981025, 572.753656,     "",     12-08-2020/05:42:35.0   ,       MEAS;
                209715278,      "172",  420589.399521,  7622318.430060, 573.488982,     "",     12-08-2020/05:43:22.0   ,       MEAS;
                209715279,      "173",  420589.409308,  7622318.426397, 573.459517,     "",     12-08-2020/05:43:35.0   ,       MEAS;
                209715280,      "174",  420594.805012,  7622318.941383, 573.745166,     "",     12-08-2020/05:44:54.0   ,       MEAS;
                209715281,      "175",  420594.797984,  7622318.937465, 573.683772,     "",     12-08-2020/05:45:04.0   ,       MEAS;
                209715282,      "176",  420600.222848,  7622319.130203, 573.862622,     "",     12-08-2020/05:46:09.0   ,       MEAS;
                209715283,      "177",  420600.207021,  7622319.143432, 573.814599,     "",     12-08-2020/05:46:21.0   ,       MEAS;
                209715284,      "178",  420606.845503,  7622319.274055, 574.008668,     "",     12-08-2020/05:47:17.0   ,       MEAS;
                209715285,      "179",  420606.854992,  7622319.258439, 573.953972,     "",     12-08-2020/05:47:26.0   ,       MEAS;
                209715286,      "180",  420610.089142,  7622319.362841, 574.085929,     "",     12-08-2020/05:48:21.0   ,       MEAS;
                209715287,      "181",  420610.096225,  7622319.356580, 573.990669,     "",     12-08-2020/05:48:32.0   ,       MEAS;
                209715288,      "182",  420669.727892,  7622502.689138, 571.620065,     "",     12-08-2020/06:40:17.0   ,       MEAS;
                209715289,      "183",  420669.736253,  7622502.684486, 571.569849,     "",     12-08-2020/06:40:37.0   ,       MEAS;
                209715290,      "184",  420662.568867,  7622507.970199, 571.936813,     "",     12-08-2020/06:41:20.0   ,       MEAS;
                209715291,      "185",  420662.559680,  7622507.957959, 571.868630,     "",     12-08-2020/06:41:36.0   ,       MEAS;
                209715292,      "186",  420656.267812,  7622512.229313, 572.201310,     "",     12-08-2020/06:42:28.0   ,       MEAS;
                209715293,      "187",  420656.284486,  7622512.226849, 572.119693,     "",     12-08-2020/06:42:47.0   ,       MEAS;
                209715294,      "188",  420642.846895,  7622521.814211, 572.870247,     "",     12-08-2020/06:43:33.0   ,       MEAS;
                209715295,      "189",  420642.834880,  7622521.800706, 572.795668,     "",     12-08-2020/06:43:46.0   ,       MEAS;
                209715296,      "190",  420632.402538,  7622529.293927, 573.794138,     "",     12-08-2020/06:44:35.0   ,       MEAS;
                209715297,      "191",  420632.414453,  7622529.286965, 573.698467,     "",     12-08-2020/06:44:47.0   ,       MEAS;
                209715298,      "192",  420656.814870,  7622485.553841, 571.419583,     "",     12-08-2020/06:46:23.0   ,       MEAS;
                209715299,      "193",  420656.810058,  7622485.550661, 571.367110,     "",     12-08-2020/06:46:36.0   ,       MEAS;
                209715300,      "194",  420647.153465,  7622488.891215, 571.540346,     "",     12-08-2020/06:47:21.0   ,       MEAS;
                209715301,      "195",  420647.154091,  7622488.876608, 571.433960,     "",     12-08-2020/06:47:33.0   ,       MEAS;
