IDEX


?
HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E3"
                OPERATOR        "TN"
                CREATION_DATE   02-08-2020/03:21:22.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                92274693,       "101",  ,       ,       840.716670,     "",    02-08-2020/03:47:00.0    ,       MEAS;
                92274696,       "102",  404940.321015,  7616112.912311, 847.238299,     "",     02-08-2020/03:54:50.0   ,       MEAS;
                92274697,       "103",  404940.371845,  7616112.879571, 847.218331,     "",     02-08-2020/03:55:13.0   ,       MEAS;
                92274698,       "104",  404916.789854,  7616110.812125, 845.241390,     "",     02-08-2020/03:56:34.0   ,       MEAS;
                92274699,       "105",  404916.721818,  7616110.913748, 845.188254,     "",     02-08-2020/03:57:07.0   ,       MEAS;
                92274700,       "106",  404893.512004,  7616112.975871, 843.403240,     "",     02-08-2020/03:58:35.0   ,       MEAS;
                92274701,       "107",  404893.501355,  7616112.988663, 843.363239,     "",     02-08-2020/03:59:01.0   ,       MEAS;
                92274702,       "108",  404868.095302,  7616112.553552, 841.941221,     "",     02-08-2020/04:00:41.0   ,       MEAS;
                92274703,       "109",  404868.033741,  7616112.533114, 841.867297,     "",     02-08-2020/04:01:01.0   ,       MEAS;
                92274704,       "110",  404864.451627,  7616125.379047, 841.777958,     "",     02-08-2020/04:03:17.0   ,       MEAS;
                92274705,       "111",  404864.478021,  7616125.330025, 841.674056,     "",     02-08-2020/04:03:32.0   ,       MEAS;
                92274706,       "112",  404887.667195,  7616124.453783, 842.931166,     "",     02-08-2020/04:05:01.0   ,       MEAS;
                92274707,       "113",  404887.669022,  7616124.453872, 842.918461,     "",     02-08-2020/04:05:20.0   ,       MEAS;
                92274708,       "114",  404913.878245,  7616120.672465, 844.963704,     "",     02-08-2020/04:06:51.0   ,       MEAS;
                92274709,       "115",  404913.869442,  7616120.651591, 844.884798,     "",     02-08-2020/04:07:10.0   ,       MEAS;
                92274710,       "116",  404940.473332,  7616119.299629, 847.235558,     "",     02-08-2020/04:09:09.0   ,       MEAS;
                92274711,       "117",  404940.476398,  7616119.356901, 847.180815,     "",     02-08-2020/04:09:34.0   ,       MEAS;
                92274712,       "118",  404940.636079,  7616125.950234, 847.314171,     "",     02-08-2020/04:10:49.0   ,       MEAS;
                92274713,       "119",  404940.576004,  7616125.927790, 847.282436,     "",     02-08-2020/04:11:10.0   ,       MEAS;
                92274714,       "120",  404918.496637,  7616125.606378, 845.439446,     "",     02-08-2020/04:12:20.0   ,       MEAS;
                92274715,       "121",  404918.510683,  7616125.635226, 845.386547,     "",     02-08-2020/04:12:39.0   ,       MEAS;
                92274716,       "122",  404891.257421,  7616130.693042, 843.262964,     "",     02-08-2020/04:13:54.0   ,       MEAS;
                92274717,       "123",  404891.307267,  7616130.685126, 843.180208,     "",     02-08-2020/04:14:12.0   ,       MEAS;
                92274718,       "124",  404866.646046,  7616134.186255, 841.805110,     "",     02-08-2020/04:16:02.0   ,       MEAS;
                92274719,       "125",  404866.648390,  7616134.155025, 841.775221,     "",     02-08-2020/04:16:24.0   ,       MEAS;
                92274720,       "126",  404863.182907,  7616148.232652, 841.585311,     "",     02-08-2020/04:17:52.0   ,       MEAS;
                92274721,       "127",  404863.198802,  7616148.214691, 841.493212,     "",     02-08-2020/04:18:14.0   ,       MEAS;
                92274722,       "128",  404888.664854,  7616149.585217, 843.142878,     "",     02-08-2020/04:19:12.0   ,       MEAS;
                92274723,       "129",  404888.636671,  7616149.610383, 843.053127,     "",     02-08-2020/04:19:28.0   ,       MEAS;
                92274724,       "130",  404912.470546,  7616147.639791, 844.858563,     "",     02-08-2020/04:20:32.0   ,       MEAS;
                92274725,       "131",  404912.438429,  7616147.652831, 844.802311,     "",     02-08-2020/04:20:54.0   ,       MEAS;
                92274726,       "132",  404937.068041,  7616146.078393, 846.920711,     "",     02-08-2020/04:22:33.0   ,       MEAS;
                92274727,       "133",  404937.020290,  7616146.127116, 846.834007,     "",     02-08-2020/04:22:55.0   ,       MEAS;
                92274728,       "134",  404937.095304,  7616167.638810, 847.120733,     "",     02-08-2020/04:24:39.0   ,       MEAS;
                92274729,       "135",  404937.117272,  7616167.664666, 847.065972,     "",     02-08-2020/04:24:57.0   ,       MEAS;
                92274730,       "136",  404912.366948,  7616165.027257, 844.922612,     "",     02-08-2020/04:27:18.0   ,       MEAS;
                92274731,       "137",  404912.285619,  7616164.962835, 844.897075,     "",     02-08-2020/04:27:43.0   ,       MEAS;
                92274732,       "138",  404887.769791,  7616160.607755, 843.077031,     "",     02-08-2020/04:29:06.0   ,       MEAS;
                92274733,       "139",  404887.777118,  7616160.570951, 843.051222,     "",     02-08-2020/04:29:30.0   ,       MEAS;
                92274734,       "140",  404863.708132,  7616159.189709, 841.654515,     "",     02-08-2020/04:31:17.0   ,       MEAS;
                92274735,       "141",  404863.729281,  7616159.131933, 841.545917,     "",     02-08-2020/04:31:38.0   ,       MEAS;
                92274736,       "142",  404910.188437,  7616208.574763, 844.770700,     "",     02-08-2020/04:50:39.0   ,       MEAS;
                92274737,       "143",  404910.192079,  7616208.593840, 844.708056,     "",     02-08-2020/04:51:04.0   ,       MEAS;
                92274738,       "144",  404885.374504,  7616209.679204, 842.756964,     "",     02-08-2020/04:52:17.0   ,       MEAS;
                92274739,       "145",  404885.384104,  7616209.686021, 842.713519,     "",     02-08-2020/04:52:38.0   ,       MEAS;
                92274740,       "146",  404860.178028,  7616210.365063, 841.097602,     "",     02-08-2020/04:53:33.0   ,       MEAS;
                92274741,       "147",  404860.256992,  7616210.417337, 841.053509,     "",     02-08-2020/04:53:46.0   ,       MEAS;
                92274742,       "148",  404835.122621,  7616210.125979, 839.545385,     "",     02-08-2020/04:55:54.0   ,       MEAS;
                92274743,       "149",  404835.049364,  7616210.128041, 839.482484,     "",     02-08-2020/04:56:15.0   ,       MEAS;
                92274744,       "150",  404835.446115,  7616196.697307, 839.798463,     "",     02-08-2020/04:58:29.0   ,       MEAS;
                92274745,       "151",  404835.412092,  7616196.673149, 839.708475,     "",     02-08-2020/04:59:00.0   ,       MEAS;
                92274746,       "152",  404860.747172,  7616198.442443, 841.191687,     "",     02-08-2020/05:00:03.0   ,       MEAS;
                92274747,       "153",  404860.714451,  7616198.420278, 841.132660,     "",     02-08-2020/05:00:19.0   ,       MEAS;
                92274748,       "154",  404886.094108,  7616199.796581, 842.805302,     "",     02-08-2020/05:01:21.0   ,       MEAS;
                92274749,       "155",  404886.151374,  7616199.899763, 842.751140,     "",     02-08-2020/05:01:37.0   ,       MEAS;
                92274750,       "156",  404910.853193,  7616200.659009, 844.679377,     "",     02-08-2020/05:03:31.0   ,       MEAS;
                92274751,       "157",  404910.862782,  7616200.708435, 844.599219,     "",     02-08-2020/05:03:48.0   ,       MEAS;
                92274752,       "158",  404910.310902,  7616198.567624, 844.614763,     "",     02-08-2020/05:06:21.0   ,       MEAS;
                92274753,       "159",  404910.328638,  7616198.577757, 844.575526,     "",     02-08-2020/05:06:37.0   ,       MEAS;
                92274754,       "160",  404886.042003,  7616197.818182, 842.865072,     "",     02-08-2020/05:08:00.0   ,       MEAS;
                92274755,       "161",  404885.397059,  7616198.152556, 842.766963,     "",     02-08-2020/05:09:34.0   ,       MEAS;
                92274756,       "162",  404885.401406,  7616198.164157, 842.734513,     "",     02-08-2020/05:09:51.0   ,       MEAS;
                92274757,       "163",  404860.655546,  7616197.678394, 841.212578,     "",     02-08-2020/05:10:44.0   ,       MEAS;
                92274758,       "164",  404860.634195,  7616197.646321, 841.170127,     "",     02-08-2020/05:11:00.0   ,       MEAS;
