HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "TP17"
                OPERATOR        "OO"
                CREATION_DATE   09-08-2020/07:08:14.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                176160773,      "101",  ,       ,       347.479205,     "",    09-08-2020/07:35:02.0    ,       MEAS;
                176160776,      "102",  426419.799388,  7669038.718081, 348.129532,     "",     09-08-2020/07:39:31.0   ,       MEAS;
                176160777,      "103",  426419.760991,  7669038.687828, 348.064299,     "",     09-08-2020/07:39:48.0   ,       MEAS;
                176160778,      "104",  426436.417375,  7669020.469022, 348.281441,     "",     09-08-2020/07:40:52.0   ,       MEAS;
                176160779,      "105",  426436.388940,  7669020.595190, 348.182468,     "",     09-08-2020/07:41:11.0   ,       MEAS;
                176160780,      "106",  426451.563828,  7669000.968297, 348.829370,     "",     09-08-2020/07:42:52.0   ,       MEAS;
                176160781,      "107",  426451.567885,  7669000.953770, 348.720548,     "",     09-08-2020/07:43:03.0   ,       MEAS;
                176160782,      "108",  426465.652710,  7668979.985929, 348.933965,     "",     09-08-2020/07:44:01.0   ,       MEAS;
                176160783,      "109",  426465.661638,  7668979.963943, 348.839419,     "",     09-08-2020/07:44:12.0   ,       MEAS;
                176160784,      "110",  426467.305565,  7668981.462980, 348.910321,     "",     09-08-2020/07:44:53.0   ,       MEAS;
                176160785,      "111",  426467.323883,  7668981.419965, 348.764893,     "",     09-08-2020/07:45:05.0   ,       MEAS;
                176160786,      "112",  426468.423084,  7668982.176056, 348.761181,     "",     09-08-2020/07:45:59.0   ,       MEAS;
                176160787,      "113",  426468.391176,  7668982.246860, 348.670486,     "",     09-08-2020/07:46:10.0   ,       MEAS;
                176160788,      "114",  426455.749300,  7669003.285768, 348.737858,     "",     09-08-2020/07:47:41.0   ,       MEAS;
                176160789,      "115",  426455.748512,  7669003.288118, 348.636752,     "",     09-08-2020/07:47:52.0   ,       MEAS;
                176160790,      "116",  426453.434207,  7669001.721346, 348.766135,     "",     09-08-2020/07:48:27.0   ,       MEAS;
                176160791,      "117",  426453.425690,  7669001.744800, 348.688366,     "",     09-08-2020/07:48:38.0   ,       MEAS;
                176160792,      "118",  426439.345090,  7669022.712886, 348.523373,     "",     09-08-2020/07:50:07.0   ,       MEAS;
                176160793,      "119",  426439.350636,  7669022.692546, 348.429206,     "",     09-08-2020/07:50:17.0   ,       MEAS;
                176160794,      "120",  426437.924416,  7669021.765339, 348.396322,     "",     09-08-2020/07:50:51.0   ,       MEAS;
                176160795,      "121",  426437.934096,  7669021.727277, 348.268029,     "",     09-08-2020/07:50:59.0   ,       MEAS;
                176160796,      "122",  426422.403724,  7669041.337045, 348.166207,     "",     09-08-2020/07:52:08.0   ,       MEAS;
