3TP13
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                461373445,      "101",  ,       ,       585.706025,     "",    07-07-2022/05:11:46.0    ,       MEAS;
                461373448,      "102",  420493.591013,  7622832.327475, 585.687316,     "",     07-07-2022/05:21:05.0   ,       MEAS;
                461373449,      "103",  420493.519536,  7622832.573423, 585.329682,     "",     07-07-2022/05:21:17.0   ,       MEAS;
                461373450,      "104",  420493.963316,  7622832.972550, 585.638106,     "",     07-07-2022/05:21:40.0   ,       MEAS;
                461373451,      "105",  420494.025380,  7622833.210329, 585.193870,     "",     07-07-2022/05:21:51.0   ,       MEAS;
                461373452,      "106",  420494.288573,  7622833.714676, 585.752529,     "",     07-07-2022/05:22:14.0   ,       MEAS;
                461373453,      "107",  420494.019889,  7622833.823107, 585.370098,     "",     07-07-2022/05:22:28.0   ,       MEAS;
                461373454,      "108",  420490.053016,  7622832.071127, 585.567821,     "",     07-07-2022/05:22:59.0   ,       MEAS;
                461373455,      "109",  420490.033751,  7622832.130730, 585.367662,     "",     07-07-2022/05:23:12.0   ,       MEAS;
                461373456,      "110",  420492.629475,  7622841.546699, 585.151024,     "",     07-07-2022/05:23:59.0   ,       MEAS;
                461373457,      "111",  420492.781028,  7622841.512884, 585.149170,     "",     07-07-2022/05:24:11.0   ,       MEAS;
                461373458,      "112",  420494.600563,  7622851.228347, 585.164942,     "",     07-07-2022/05:24:42.0   ,       MEAS;
                461373459,      "113",  420494.695509,  7622851.191709, 585.074136,     "",     07-07-2022/05:24:57.0   ,       MEAS;
                461373460,      "114",  420489.059574,  7622835.826069, 585.682147,     "",     07-07-2022/05:25:44.0   ,       MEAS;
                461373461,      "115",  420488.959041,  7622836.083917, 585.349413,     "",     07-07-2022/05:26:01.0   ,       MEAS;
                461373462,      "116",  420488.803406,  7622835.434316, 585.675303,     "",     07-07-2022/05:26:20.0   ,       MEAS;
                461373463,      "117",  420488.763410,  7622835.646764, 585.342893,     "",     07-07-2022/05:26:30.0   ,       MEAS;
                461373464,      "118",  420488.583759,  7622835.177625, 585.729177,     "",     07-07-2022/05:26:54.0   ,       MEAS;
                461373465,      "119",  420488.648048,  7622835.273821, 585.447417,     "",     07-07-2022/05:27:05.0   ,       MEAS;
                461373466,      "120",  420460.524121,  7622870.672576, 585.943537,     "",     07-07-2022/05:31:10.0   ,       MEAS;
                461373467,      "121",  420460.494388,  7622870.580150, 585.764459,     "",     07-07-2022/05:31:24.0   ,       MEAS;
                461373468,      "122",  420462.850620,  7622876.280840, 585.759904,     "",     07-07-2022/05:31:49.0   ,       MEAS;
                461373469,      "123",  420462.911886,  7622876.232880, 585.499649,     "",     07-07-2022/05:32:00.0   ,       MEAS;
                461373470,      "124",  420466.477407,  7622883.856001, 585.760827,     "",     07-07-2022/05:34:37.0   ,       MEAS;
                461373471,      "125",  420466.452622,  7622883.628851, 585.424340,     "",     07-07-2022/05:34:52.0   ,       MEAS;
                461373472,      "126",  420456.631220,  7622871.269436, 586.267638,     "",     07-07-2022/05:36:04.0   ,       MEAS;
                461373473,      "127",  420456.699412,  7622871.296598, 585.777840,     "",     07-07-2022/05:36:14.0   ,       MEAS;
                461373474,      "128",  420456.378553,  7622870.971123, 586.044414,     "",     07-07-2022/05:36:32.0   ,       MEAS;
                461373475,      "129",  420456.502573,  7622870.962916, 585.816198,     "",     07-07-2022/05:36:39.0   ,       MEAS;
                461373476,      "130",  420456.331318,  7622870.122985, 586.341763,     "",     07-07-2022/05:37:13.0   ,       MEAS;
                461373477,      "131",  420456.342809,  7622870.080451, 586.097628,     "",     07-07-2022/05:37:21.0   ,       MEAS;
                461373478,      "132",  420452.754807,  7622870.556568, 586.279202,     "",     07-07-2022/05:37:51.0   ,       MEAS;
                461373479,      "133",  420452.897918,  7622870.614230, 586.105888,     "",     07-07-2022/05:37:59.0   ,       MEAS;
                461373480,      "134",  420452.893866,  7622871.228025, 586.040613,     "",     07-07-2022/05:38:31.0   ,       MEAS;
                461373481,      "135",  420452.876819,  7622871.204952, 585.929910,     "",     07-07-2022/05:38:53.0   ,       MEAS;
                461373482,      "136",  420453.196479,  7622871.931907, 586.271333,     "",     07-07-2022/05:39:11.0   ,       MEAS;
                461373483,      "137",  420453.244881,  7622871.925889, 585.922452,     "",     07-07-2022/05:39:20.0   ,       MEAS;
                461373484,      "138",  420467.589840,  7622910.531708, 586.525180,     "",     07-07-2022/05:45:08.0   ,       MEAS;
                461373485,      "139",  420467.643667,  7622910.558937, 586.094882,     "",     07-07-2022/05:45:22.0   ,       MEAS;
                461373486,      "140",  420470.915865,  7622909.124127, 586.710417,     "",     07-07-2022/05:45:55.0   ,       MEAS;
                461373487,      "141",  420470.936519,  7622909.067051, 586.246550,     "",     07-07-2022/05:46:04.0   ,       MEAS;
                461373488,      "142",  420476.545302,  7622906.347696, 586.595664,     "",     07-07-2022/05:46:30.0   ,       MEAS;
                461373489,      "143",  420476.590335,  7622906.357585, 586.174263,     "",     07-07-2022/05:46:54.0   ,       MEAS;
                461373490,      "144",  420486.534765,  7622928.701277, 587.062519,     "",     07-07-2022/05:47:44.0   ,       MEAS;
                461373491,      "145",  420486.465259,  7622928.632865, 586.644674,     "",     07-07-2022/05:47:57.0   ,       MEAS;
                461373492,      "146",  420479.663199,  7622932.670235, 587.075668,     "",     07-07-2022/05:48:23.0   ,       MEAS;
                461373493,      "147",  420479.648263,  7622932.641531, 586.664107,     "",     07-07-2022/05:48:31.0   ,       MEAS;
                461373494,      "148",  420475.091742,  7622935.250758, 587.016263,     "",     07-07-2022/05:48:51.0   ,       MEAS;
                461373495,      "149",  420475.103600,  7622935.284050, 586.734152,     "",     07-07-2022/05:49:05.0   ,       MEAS;
                461373496,      "150",  420482.670858,  7622956.463249, 587.561854,     "",     07-07-2022/05:49:53.0   ,       MEAS;
                461373497,      "151",  420482.677866,  7622956.511304, 587.245562,     "",     07-07-2022/05:50:06.0   ,       MEAS;
                461373498,      "152",  420487.412259,  7622955.425046, 587.442563,     "",     07-07-2022/05:50:28.0   ,       MEAS;
                461373499,      "153",  420487.058497,  7622955.150827, 587.088187,     "",     07-07-2022/05:50:57.0   ,       MEAS;
                461373500,      "154",  420493.571270,  7622953.581447, 587.484874,     "",     07-07-2022/05:51:21.0   ,       MEAS;
                461373501,      "155",  420493.552175,  7622953.605756, 586.834391,     "",     07-07-2022/05:51:36.0   ,       MEAS;
                461373502,      "156",  420500.353743,  7622977.535492, 587.951553,     "",     07-07-2022/05:52:46.0   ,       MEAS;
                461373503,      "157",  420500.388340,  7622977.623455, 587.557169,     "",     07-07-2022/05:52:57.0   ,       MEAS;
                461373504,      "158",  420495.628885,  7622978.632626, 587.965395,     "",     07-07-2022/05:53:17.0   ,       MEAS;
                461373505,      "159",  420495.657170,  7622978.928350, 587.555585,     "",     07-07-2022/05:53:27.0   ,       MEAS;
                461373506,      "160",  420485.586511,  7622982.425774, 588.059931,     "",     07-07-2022/05:53:56.0   ,       MEAS;
                461373507,      "161",  420485.552840,  7622982.359721, 587.912650,     "",     07-07-2022/05:54:04.0   ,       MEAS;
                461373508,      "162",  420465.231922,  7622850.934341, 586.101441,     "",     07-07-2022/05:58:07.0   ,       MEAS;
                461373444,      "101",  420512.000000,  7622851.000000, 587.000000,     "",     07-07-2022/05:11:45.0   ,       FIX;
                461373443,      "TS1",  420482.000000,  7622871.000000, 586.000000,     "",     07-07-2022/05:09:01.0   ,       FIX;
