3EP01
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                360710149,      "101",  ,       ,       839.436284,     "",    30-06-2022/05:43:47.0    ,       MEAS;
                360710152,      "102",  398171.187562,  7607111.278790, 839.506404,     "",     30-06-2022/06:25:45.0   ,       MEAS;
                360710153,      "103",  398171.196149,  7607111.193130, 839.063734,     "",     30-06-2022/06:26:33.0   ,       MEAS;
                360710154,      "104",  398171.426495,  7607111.565244, 839.311496,     "",     30-06-2022/06:27:49.0   ,       MEAS;
                360710155,      "105",  398171.482858,  7607111.420911, 839.027618,     "",     30-06-2022/06:28:30.0   ,       MEAS;
                360710156,      "106",  398171.695569,  7607111.878524, 839.554912,     "",     30-06-2022/06:29:24.0   ,       MEAS;
                360710157,      "107",  398171.789221,  7607111.782452, 839.017970,     "",     30-06-2022/06:29:51.0   ,       MEAS;
                360710158,      "108",  398167.634569,  7607112.678152, 839.526456,     "",     30-06-2022/06:30:48.0   ,       MEAS;
                360710159,      "109",  398167.729884,  7607112.577730, 838.611427,     "",     30-06-2022/06:32:19.0   ,       MEAS;
                360710160,      "110",  398169.663530,  7607113.572031, 838.623657,     "",     30-06-2022/06:33:12.0   ,       MEAS;
                360710161,      "111",  398169.620307,  7607113.619100, 838.067646,     "",     30-06-2022/06:34:05.0   ,       MEAS;
                360710162,      "112",  398171.107590,  7607114.789916, 839.479990,     "",     30-06-2022/06:35:06.0   ,       MEAS;
                360710163,      "113",  398171.288293,  7607114.812796, 838.846837,     "",     30-06-2022/06:37:31.0   ,       MEAS;
                360710164,      "114",  398164.667247,  7607114.200314, 839.503497,     "",     30-06-2022/06:39:45.0   ,       MEAS;
                360710165,      "115",  398164.644932,  7607114.035311, 838.734400,     "",     30-06-2022/06:40:57.0   ,       MEAS;
                360710166,      "116",  398163.670774,  7607117.359200, 839.185143,     "",     30-06-2022/06:41:51.0   ,       MEAS;
                360710167,      "117",  398163.775533,  7607117.302489, 838.665128,     "",     30-06-2022/06:42:14.0   ,       MEAS;
                360710168,      "118",  398165.026900,  7607121.219885, 839.336845,     "",     30-06-2022/06:43:05.0   ,       MEAS;
                360710169,      "119",  398165.128629,  7607121.164767, 838.828121,     "",     30-06-2022/06:43:48.0   ,       MEAS;
                360710170,      "120",  398165.239913,  7607121.365539, 839.210455,     "",     30-06-2022/06:45:53.0   ,       MEAS;
                360710171,      "121",  398165.353407,  7607121.304402, 838.896652,     "",     30-06-2022/06:46:20.0   ,       MEAS;
                360710172,      "122",  398165.409308,  7607121.466950, 839.446339,     "",     30-06-2022/06:47:17.0   ,       MEAS;
                360710173,      "123",  398165.533308,  7607121.442561, 838.878739,     "",     30-06-2022/06:48:03.0   ,       MEAS;
                360710174,      "124",  398167.133658,  7607120.033327, 839.388261,     "",     30-06-2022/06:49:27.0   ,       MEAS;
                360710175,      "125",  398167.172706,  7607120.054353, 838.666642,     "",     30-06-2022/06:50:22.0   ,       MEAS;
                360710176,      "126",  398170.219946,  7607117.909221, 839.334574,     "",     30-06-2022/06:51:26.0   ,       MEAS;
                360710177,      "127",  398170.185672,  7607117.861940, 838.633319,     "",     30-06-2022/06:52:42.0   ,       MEAS;
                360710178,      "128",  398166.005396,  7607118.998052, 838.347931,     "",     30-06-2022/06:54:23.0   ,       MEAS;
                360710179,      "129",  398165.982851,  7607119.001844, 838.039158,     "",     30-06-2022/06:54:37.0   ,       MEAS;
                360710180,      "130",  398169.311550,  7607116.807761, 837.921756,     "",     30-06-2022/07:00:17.0   ,       MEAS;
                360710181,      "131",  398169.299410,  7607116.845767, 837.377966,     "",     30-06-2022/07:01:02.0   ,       MEAS;
                360710182,      "132",  398167.692200,  7607115.456905, 837.941604,     "",     30-06-2022/07:03:51.0   ,       MEAS;
                360710183,      "133",  398167.872241,  7607115.431110, 837.680204,     "",     30-06-2022/07:07:05.0   ,       MEAS;
                360710184,      "134",  398165.760345,  7607114.905036, 838.204631,     "",     30-06-2022/07:08:43.0   ,       MEAS;
                360710185,      "135",  398165.792619,  7607115.016701, 837.708331,     "",     30-06-2022/07:08:53.0   ,       MEAS;
