3EP13
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                377487365,      "101",  ,       ,       585.199791,     "",    09-02-2021/23:53:26.0    ,       MEAS;
                377487368,      "102",  420508.178174,  7622927.198888, 585.603048,     "",     09-02-2021/23:56:09.0   ,       MEAS;
                377487369,      "103",  420508.217993,  7622927.151333, 585.234335,     "",     09-02-2021/23:56:58.0   ,       MEAS;
                377487370,      "104",  420513.455173,  7622950.902066, 586.310746,     "",     09-02-2021/23:58:47.0   ,       MEAS;
                377487371,      "105",  420513.522831,  7622950.975351, 585.969077,     "",     09-02-2021/23:58:59.0   ,       MEAS;
                377487372,      "106",  420519.439819,  7622948.326657, 586.222058,     "",     09-02-2021/23:59:31.0   ,       MEAS;
                377487373,      "107",  420519.542633,  7622948.382995, 585.755330,     "",     09-02-2021/23:59:52.0   ,       MEAS;
                377487374,      "108",  420523.065640,  7622947.055255, 586.300290,     "",     10-02-2021/00:00:33.0   ,       MEAS;
                377487375,      "109",  420523.021946,  7622946.986793, 586.019310,     "",     10-02-2021/00:00:47.0   ,       MEAS;
                377487376,      "110",  420516.223769,  7622922.079411, 585.539136,     "",     10-02-2021/00:01:36.0   ,       MEAS;
                377487377,      "111",  420516.301836,  7622922.226077, 584.838891,     "",     10-02-2021/00:02:02.0   ,       MEAS;
                377487378,      "112",  420513.203887,  7622924.013287, 585.473032,     "",     10-02-2021/00:02:32.0   ,       MEAS;
                377487379,      "113",  420513.143424,  7622923.933203, 585.148833,     "",     10-02-2021/00:02:45.0   ,       MEAS;
                377487380,      "114",  420508.181267,  7622927.235952, 585.467084,     "",     10-02-2021/00:03:09.0   ,       MEAS;
                377487381,      "115",  420508.187003,  7622927.255682, 585.206747,     "",     10-02-2021/00:03:28.0   ,       MEAS;
                377487382,      "116",  420502.565434,  7622901.175502, 585.183192,     "",     10-02-2021/00:04:15.0   ,       MEAS;
                377487383,      "117",  420502.557041,  7622901.209715, 584.680347,     "",     10-02-2021/00:04:34.0   ,       MEAS;
                377487384,      "118",  420506.422054,  7622899.970055, 585.153972,     "",     10-02-2021/00:04:55.0   ,       MEAS;
                377487385,      "119",  420506.477412,  7622900.022811, 584.609827,     "",     10-02-2021/00:05:08.0   ,       MEAS;
                377487386,      "120",  420510.014305,  7622898.567038, 585.069864,     "",     10-02-2021/00:05:26.0   ,       MEAS;
                377487387,      "121",  420510.031118,  7622898.764684, 584.609838,     "",     10-02-2021/00:05:38.0   ,       MEAS;
                377487388,      "122",  420503.873714,  7622874.632356, 585.267370,     "",     10-02-2021/00:06:13.0   ,       MEAS;
                377487389,      "123",  420503.927418,  7622874.481552, 584.561307,     "",     10-02-2021/00:06:49.0   ,       MEAS;
                377487390,      "124",  420500.369479,  7622875.707488, 585.364908,     "",     10-02-2021/00:07:20.0   ,       MEAS;
                377487391,      "125",  420500.348626,  7622875.773068, 585.121859,     "",     10-02-2021/00:07:31.0   ,       MEAS;
                377487392,      "126",  420497.483238,  7622876.522256, 585.342325,     "",     10-02-2021/00:07:53.0   ,       MEAS;
                377487393,      "127",  420497.482523,  7622876.572971, 585.053927,     "",     10-02-2021/00:08:11.0   ,       MEAS;
                377487394,      "128",  420480.322584,  7622808.218245, 586.073526,     "",     10-02-2021/00:11:08.0   ,       MEAS;
                377487395,      "129",  420480.157875,  7622808.446897, 585.737047,     "",     10-02-2021/00:11:41.0   ,       MEAS;
                377487396,      "130",  420483.253706,  7622807.317105, 586.025241,     "",     10-02-2021/00:12:00.0   ,       MEAS;
                377487397,      "131",  420483.291122,  7622807.268503, 585.690858,     "",     10-02-2021/00:12:11.0   ,       MEAS;
                377487398,      "132",  420486.828132,  7622806.559249, 585.931279,     "",     10-02-2021/00:12:32.0   ,       MEAS;
                377487399,      "133",  420486.820071,  7622806.511916, 585.622324,     "",     10-02-2021/00:12:43.0   ,       MEAS;
                377487400,      "134",  420479.781685,  7622781.433886, 588.780339,     "",     10-02-2021/00:13:36.0   ,       MEAS;
                377487401,      "135",  420479.816320,  7622781.417467, 588.496971,     "",     10-02-2021/00:13:46.0   ,       MEAS;
                377487402,      "136",  420476.640263,  7622782.513897, 589.110076,     "",     10-02-2021/00:14:10.0   ,       MEAS;
                377487403,      "137",  420476.624197,  7622782.517064, 588.789039,     "",     10-02-2021/00:14:23.0   ,       MEAS;
                377487404,      "138",  420472.993726,  7622783.843283, 589.410224,     "",     10-02-2021/00:14:42.0   ,       MEAS;
                377487405,      "139",  420472.985187,  7622783.889577, 589.155781,     "",     10-02-2021/00:15:00.0   ,       MEAS;
                377487406,      "140",  420465.643409,  7622760.066023, 590.162497,     "",     10-02-2021/00:15:52.0   ,       MEAS;
                377487407,      "141",  420465.694388,  7622760.111647, 589.884380,     "",     10-02-2021/00:16:04.0   ,       MEAS;
                377487408,      "142",  420470.682269,  7622758.588133, 589.961887,     "",     10-02-2021/00:16:40.0   ,       MEAS;
                377487409,      "143",  420470.767392,  7622758.765832, 589.732889,     "",     10-02-2021/00:16:50.0   ,       MEAS;
                377487410,      "144",  420474.247407,  7622758.114716, 589.965874,     "",     10-02-2021/00:17:08.0   ,       MEAS;
                377487411,      "145",  420474.176192,  7622758.065180, 589.729716,     "",     10-02-2021/00:17:23.0   ,       MEAS;
                377487412,      "146",  420468.250003,  7622733.467878, 590.022623,     "",     10-02-2021/00:18:05.0   ,       MEAS;
                377487413,      "147",  420468.248416,  7622733.465082, 589.810209,     "",     10-02-2021/00:18:24.0   ,       MEAS;
                377487414,      "148",  420464.165483,  7622734.121289, 590.067032,     "",     10-02-2021/00:18:41.0   ,       MEAS;
                377487415,      "149",  420464.093294,  7622734.313213, 589.672406,     "",     10-02-2021/00:18:56.0   ,       MEAS;
                377487416,      "150",  420458.208706,  7622735.312927, 590.162981,     "",     10-02-2021/00:19:19.0   ,       MEAS;
                377487417,      "151",  420458.069496,  7622735.525092, 590.007196,     "",     10-02-2021/00:19:37.0   ,       MEAS;
                377487418,      "152",  420424.096925,  7622778.569589, 590.777630,     "",     10-02-2021/00:21:17.0   ,       MEAS;
                377487419,      "153",  420424.064831,  7622778.597530, 590.423396,     "",     10-02-2021/00:21:27.0   ,       MEAS;
                377487420,      "154",  420421.265497,  7622778.877962, 590.712391,     "",     10-02-2021/00:21:51.0   ,       MEAS;
                377487421,      "155",  420421.204089,  7622778.833767, 590.461809,     "",     10-02-2021/00:22:03.0   ,       MEAS;
                377487422,      "156",  420416.681137,  7622779.259119, 590.864323,     "",     10-02-2021/00:22:22.0   ,       MEAS;
                377487423,      "157",  420416.752256,  7622779.294796, 590.458723,     "",     10-02-2021/00:22:33.0   ,       MEAS;
                377487424,      "158",  420425.022022,  7622805.386894, 590.212366,     "",     10-02-2021/00:23:28.0   ,       MEAS;
                377487425,      "159",  420425.219580,  7622805.392709, 589.837229,     "",     10-02-2021/00:23:39.0   ,       MEAS;
                377487426,      "160",  420428.850326,  7622803.328297, 590.147128,     "",     10-02-2021/00:23:58.0   ,       MEAS;
                377487427,      "161",  420428.932587,  7622803.364058, 589.963683,     "",     10-02-2021/00:24:14.0   ,       MEAS;
                377487428,      "162",  420431.843476,  7622801.548481, 590.252972,     "",     10-02-2021/00:24:34.0   ,       MEAS;
                377487429,      "163",  420431.779135,  7622801.558068, 589.853370,     "",     10-02-2021/00:24:47.0   ,       MEAS;
                377487430,      "164",  420435.724548,  7622828.679126, 587.301903,     "",     10-02-2021/00:25:48.0   ,       MEAS;
                377487431,      "165",  420435.399856,  7622828.530292, 587.125599,     "",     10-02-2021/00:26:55.0   ,       MEAS;
                377487432,      "166",  420438.969242,  7622826.420259, 587.092909,     "",     10-02-2021/00:27:33.0   ,       MEAS;
                377487433,      "167",  420438.995719,  7622826.246691, 586.838467,     "",     10-02-2021/00:28:01.0   ,       MEAS;
                377487434,      "168",  420441.950543,  7622825.213373, 586.909819,     "",     10-02-2021/00:28:23.0   ,       MEAS;
                377487435,      "169",  420442.160287,  7622825.276136, 586.534429,     "",     10-02-2021/00:28:54.0   ,       MEAS;
                377487436,      "170",  420451.293214,  7622848.555198, 585.989665,     "",     10-02-2021/00:29:40.0   ,       MEAS;
                377487437,      "171",  420451.338916,  7622848.652465, 585.776797,     "",     10-02-2021/00:29:52.0   ,       MEAS;
                377487438,      "172",  420449.256798,  7622849.309762, 585.982745,     "",     10-02-2021/00:30:12.0   ,       MEAS;
                377487439,      "173",  420449.216854,  7622849.326935, 585.753755,     "",     10-02-2021/00:30:33.0   ,       MEAS;
                377487440,      "174",  420445.354064,  7622850.914611, 586.291823,     "",     10-02-2021/00:31:13.0   ,       MEAS;
                377487441,      "175",  420445.383538,  7622850.870413, 585.905072,     "",     10-02-2021/00:31:26.0   ,       MEAS;
                377487442,      "176",  420464.710543,  7622850.799877, 585.577758,     "",     10-02-2021/00:40:50.0   ,       MEAS;
                377487364,      "101",  420512.000000,  7622851.000000, 587.000000,     "",     09-02-2021/23:53:26.0   ,       FIX;
                377487363,      "TS2",  420497.000000,  7622769.000000, 590.000000,     "",     09-02-2021/23:37:00.0   ,       FIX;
