3TP6
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                427819013,      "101",  ,       ,       777.059432,     "",    11-02-2021/04:43:30.0    ,       MEAS;
                427819016,      "102",  412864.457797,  7619303.519745, 777.186370,     "",     11-02-2021/04:46:21.0   ,       MEAS;
                427819017,      "103",  412864.495410,  7619303.610036, 776.864796,     "",     11-02-2021/04:46:58.0   ,       MEAS;
                427819018,      "104",  412869.212665,  7619305.778780, 777.132906,     "",     11-02-2021/04:47:29.0   ,       MEAS;
                427819019,      "105",  412869.338607,  7619305.972476, 776.817848,     "",     11-02-2021/04:47:52.0   ,       MEAS;
                427819020,      "106",  412873.966929,  7619308.578424, 776.930468,     "",     11-02-2021/04:48:49.0   ,       MEAS;
                427819021,      "107",  412874.088179,  7619308.646239, 776.586012,     "",     11-02-2021/04:49:30.0   ,       MEAS;
                427819022,      "108",  412886.223822,  7619279.841531, 776.970730,     "",     11-02-2021/04:50:53.0   ,       MEAS;
                427819023,      "109",  412886.141363,  7619279.820168, 776.665854,     "",     11-02-2021/04:51:06.0   ,       MEAS;
                427819024,      "110",  412880.110649,  7619278.697296, 776.992559,     "",     11-02-2021/04:51:38.0   ,       MEAS;
                427819025,      "111",  412880.196665,  7619278.843114, 776.711142,     "",     11-02-2021/04:51:51.0   ,       MEAS;
                427819026,      "112",  412873.509764,  7619277.285005, 777.006807,     "",     11-02-2021/04:52:21.0   ,       MEAS;
                427819027,      "113",  412873.580086,  7619277.268484, 776.677538,     "",     11-02-2021/04:52:44.0   ,       MEAS;
                427819028,      "114",  412880.481541,  7619257.219264, 776.845736,     "",     11-02-2021/04:53:32.0   ,       MEAS;
                427819029,      "115",  412880.501747,  7619257.395349, 776.563608,     "",     11-02-2021/04:53:45.0   ,       MEAS;
                427819030,      "116",  412887.614785,  7619259.540408, 776.916877,     "",     11-02-2021/04:54:11.0   ,       MEAS;
                427819031,      "117",  412887.889503,  7619259.687520, 776.661277,     "",     11-02-2021/04:54:20.0   ,       MEAS;
                427819032,      "118",  412893.412744,  7619261.929655, 776.920882,     "",     11-02-2021/04:55:28.0   ,       MEAS;
                427819033,      "119",  412893.488181,  7619262.107484, 776.680333,     "",     11-02-2021/04:55:52.0   ,       MEAS;
                427819034,      "120",  412904.194974,  7619235.883626, 776.772247,     "",     11-02-2021/04:56:52.0   ,       MEAS;
                427819035,      "121",  412904.133961,  7619235.985256, 776.533835,     "",     11-02-2021/04:57:36.0   ,       MEAS;
                427819036,      "122",  412898.852224,  7619232.573221, 776.569054,     "",     11-02-2021/04:58:12.0   ,       MEAS;
                427819037,      "123",  412898.844166,  7619232.655051, 776.101540,     "",     11-02-2021/04:58:32.0   ,       MEAS;
                427819038,      "124",  412890.335792,  7619228.891218, 776.868522,     "",     11-02-2021/04:59:18.0   ,       MEAS;
                427819039,      "125",  412890.351327,  7619229.069708, 776.674568,     "",     11-02-2021/04:59:42.0   ,       MEAS;
                427819040,      "126",  412956.741718,  7619263.972054, 776.335229,     "",     11-02-2021/05:01:48.0   ,       MEAS;
                427819041,      "127",  412956.695052,  7619264.093916, 776.101936,     "",     11-02-2021/05:02:01.0   ,       MEAS;
                427819042,      "128",  412960.388215,  7619266.234183, 776.397867,     "",     11-02-2021/05:02:28.0   ,       MEAS;
                427819043,      "129",  412960.416006,  7619266.357580, 776.130479,     "",     11-02-2021/05:02:50.0   ,       MEAS;
                427819044,      "130",  412964.328525,  7619268.608501, 776.065847,     "",     11-02-2021/05:03:21.0   ,       MEAS;
                427819045,      "131",  412964.324173,  7619268.669242, 775.709452,     "",     11-02-2021/05:03:35.0   ,       MEAS;
                427819046,      "132",  412953.050860,  7619290.674670, 776.561255,     "",     11-02-2021/05:04:26.0   ,       MEAS;
                427819047,      "133",  412952.941879,  7619290.630231, 776.261216,     "",     11-02-2021/05:04:44.0   ,       MEAS;
                427819048,      "134",  412949.616269,  7619288.958676, 776.559436,     "",     11-02-2021/05:05:04.0   ,       MEAS;
                427819049,      "135",  412949.712410,  7619289.029124, 776.232566,     "",     11-02-2021/05:05:24.0   ,       MEAS;
                427819050,      "136",  412946.366984,  7619287.553274, 776.494043,     "",     11-02-2021/05:05:45.0   ,       MEAS;
                427819051,      "137",  412946.206974,  7619287.539714, 776.167676,     "",     11-02-2021/05:06:11.0   ,       MEAS;
                427819052,      "138",  412936.058109,  7619310.300839, 776.587048,     "",     11-02-2021/05:06:56.0   ,       MEAS;
                427819053,      "139",  412936.100890,  7619310.516926, 776.369238,     "",     11-02-2021/05:07:15.0   ,       MEAS;
                427819054,      "140",  412939.182890,  7619311.453328, 776.564263,     "",     11-02-2021/05:07:37.0   ,       MEAS;
                427819055,      "141",  412939.283417,  7619311.482393, 776.292943,     "",     11-02-2021/05:07:50.0   ,       MEAS;
                427819056,      "142",  412942.053268,  7619312.453555, 776.266469,     "",     11-02-2021/05:08:53.0   ,       MEAS;
                427819057,      "143",  412941.962810,  7619312.454323, 775.826113,     "",     11-02-2021/05:09:10.0   ,       MEAS;
                427819058,      "144",  412931.035370,  7619335.226537, 776.575695,     "",     11-02-2021/05:10:07.0   ,       MEAS;
                427819059,      "145",  412931.104995,  7619335.133797, 776.313542,     "",     11-02-2021/05:10:24.0   ,       MEAS;
                427819060,      "146",  412928.224427,  7619333.909777, 776.555217,     "",     11-02-2021/05:10:44.0   ,       MEAS;
                427819061,      "147",  412928.422443,  7619333.989080, 776.345773,     "",     11-02-2021/05:10:56.0   ,       MEAS;
                427819062,      "148",  412925.763568,  7619332.778253, 776.615745,     "",     11-02-2021/05:11:15.0   ,       MEAS;
                427819063,      "149",  412925.846547,  7619332.805872, 776.301363,     "",     11-02-2021/05:11:29.0   ,       MEAS;
                427819064,      "150",  412908.036865,  7619386.516759, 776.642381,     "",     11-02-2021/05:13:22.0   ,       MEAS;
                427819065,      "151",  412908.144251,  7619386.550235, 776.246314,     "",     11-02-2021/05:13:32.0   ,       MEAS;
                427819066,      "152",  412904.408995,  7619384.918233, 776.911507,     "",     11-02-2021/05:14:00.0   ,       MEAS;
                427819067,      "153",  412904.250978,  7619384.973982, 776.609167,     "",     11-02-2021/05:14:13.0   ,       MEAS;
                427819068,      "154",  412901.996773,  7619383.790870, 776.850796,     "",     11-02-2021/05:14:31.0   ,       MEAS;
                427819069,      "155",  412902.027598,  7619383.917897, 776.605562,     "",     11-02-2021/05:14:41.0   ,       MEAS;
                427819070,      "156",  412891.441413,  7619406.320611, 776.903812,     "",     11-02-2021/05:15:25.0   ,       MEAS;
                427819071,      "157",  412891.389909,  7619406.252442, 776.513693,     "",     11-02-2021/05:15:40.0   ,       MEAS;
                427819072,      "158",  412894.036784,  7619407.613623, 776.971373,     "",     11-02-2021/05:16:01.0   ,       MEAS;
                427819073,      "159",  412894.093590,  7619407.567561, 776.624111,     "",     11-02-2021/05:16:16.0   ,       MEAS;
                427819074,      "160",  412896.865810,  7619408.944361, 776.942289,     "",     11-02-2021/05:16:51.0   ,       MEAS;
                427819075,      "161",  412896.938694,  7619408.951646, 776.679740,     "",     11-02-2021/05:17:04.0   ,       MEAS;
                427819076,      "162",  412886.998755,  7619431.454481, 777.351389,     "",     11-02-2021/05:17:49.0   ,       MEAS;
                427819077,      "163",  412887.110702,  7619431.590302, 777.114459,     "",     11-02-2021/05:18:02.0   ,       MEAS;
                427819078,      "164",  412883.652773,  7619430.445800, 777.455099,     "",     11-02-2021/05:18:22.0   ,       MEAS;
                427819079,      "165",  412883.565756,  7619430.457418, 777.183911,     "",     11-02-2021/05:18:30.0   ,       MEAS;
                427819080,      "166",  412880.582596,  7619430.036796, 777.414913,     "",     11-02-2021/05:18:49.0   ,       MEAS;
                427819081,      "167",  412880.567057,  7619430.072826, 777.228421,     "",     11-02-2021/05:19:04.0   ,       MEAS;
                427819082,      "168",  412870.248910,  7619453.704576, 777.712711,     "",     11-02-2021/05:19:46.0   ,       MEAS;
                427819083,      "169",  412870.235893,  7619453.761144, 777.397520,     "",     11-02-2021/05:20:03.0   ,       MEAS;
                427819084,      "170",  412873.032110,  7619454.433359, 777.866822,     "",     11-02-2021/05:20:25.0   ,       MEAS;
                427819085,      "171",  412872.977082,  7619454.436546, 777.227833,     "",     11-02-2021/05:20:40.0   ,       MEAS;
                427819086,      "172",  412875.656083,  7619455.345411, 777.860436,     "",     11-02-2021/05:21:05.0   ,       MEAS;
                427819087,      "173",  412875.600032,  7619455.647593, 777.312704,     "",     11-02-2021/05:21:26.0   ,       MEAS;
                427819088,      "174",  412869.452571,  7619347.919095, 776.980828,     "",     11-02-2021/05:26:13.0   ,       MEAS;
                427819012,      "101",  412868.000000,  7619329.000000, 777.000000,     "",     11-02-2021/04:43:29.0   ,       FIX;
                427819011,      "TS2",  412887.000000,  7619312.000000, 777.000000,     "",     11-02-2021/04:37:29.0   ,       FIX;
